,artifact_id,text_for_matching_web,id_page,price,currency,description_short,description_long,id_article;;;;;;;
"70,0-آثارنا المنهوبة_10_p070_89bc8721,""Others were accidentally lost in baths or toilets, or due to the vicissitudes of nature and war."""" Provenance: private East Coast, USA collection"",151,,,,,71";;;;;;;
"71,0-آثارنا المنهوبة_10_p071_9aa6662e,""Others were accidentally lost in baths or toilets, or due to the vicissitudes of nature and war."""" Provenance: private East Coast, USA collection"",152,,,""Object type and material are not specified in the source text. The text notes that some objects were accidentally lost in baths or toilets, or due to the vicissitudes of nature and war. Provenance: private East Coast, USA collection."",""Object type and material are not specified in the source text. The available information states that others were accidentally lost in baths or toilets, or due to the vicissitudes of nature and war. The only provenance given is a private East Coast, USA collection."",72";;;;;;;
"72,0-آثارنا المنهوبة_10_p072_6288a421,""Obv: head of Athena right, wearing crested helmet and circular ear ring, eye in profile, South Arabian letter 'N' on cheek. LOT 3548 South Arabian - Sabaean - Imitative Owl Drachm [ translate ] 354-340 BC. Rev: AQE with owl standing right, head facing, olive spray and crescent moon in upper left field. Van Alfen Studies 4, 7 and 11"",153,,,""Coin, silver, South Arabian Sabaean imitative owl drachm, 354-340 BC. Obverse: head of Athena right, wearing a crested helmet and circular earring, eye in profile, with South Arabian letter 'N' on the cheek. Reverse: AQE with owl standing right, head facing, olive spray and crescent moon in the upper left field."",""Coin, silver, South Arabian Sabaean imitative owl drachm, dated 354-340 BC. The obverse shows the head of Athena facing right, wearing a crested helmet and a circular earring, with the eye shown in profile and the South Arabian letter 'N' on the cheek. The reverse bears the inscription AQE and depicts an owl standing right with head facing, accompanied by an olive spray and a crescent moon in the upper left field. Reference cited: Van Alfen Studies 4, 7 and 11."",73";;;;;;;
"73,0-آثارنا المنهوبة_10_p073_d8fc1a04,""Obv: head of Athena right, wearing crested helmet and circular ear ring, eye in profile"",154,,,""Coin, metal, with obverse showing the head of Athena facing right, wearing a crested helmet and circular earring";" the eye is shown in profile."",""Coin, metal, with obverse depicting the head of Athena facing right. She wears a crested helmet and a circular earring, and the eye is rendered in profile. No further details are provided in the source text."",74";;;;;;
"74,0-آثارنا المنهوبة_10_p074_c161f5cf,""LOT 5 Yemen [ translate ] Yemen 2 oil lamps Stone carved in the shape of a star wrought iron grip ring D. 18 cm and 12 cm Automatically translated by DeepL. To see the original version, click here."",155,,,""Oil lamp, stone, carved in the shape of a star, with wrought iron grip ring. Yemen."",""Oil lamp, stone, carved in the shape of a star, with a wrought iron grip ring. The object is described as originating from Yemen. Dimensions given: 18 cm and 12 cm."",75";;;;;;;
"75,0-آثارنا المنهوبة_10_p076_234f216d,""LOT 48 A Rasulid brass basin Yemen, 14th/ 15th Century [ translate ] A Rasulid brass basin Yemen, 14th/ 15th Century of rounded form with tapering sides, the body decorated with an engraved band containing inscription-filled cartouches overlaid with rosettes interspersed by roundels containing flowerheads and foliate interlace, the interstices with lozenge motifs, the well with a rosette 27 cm."",157,,,""Basin, brass, Yemen, 14th/15th century. Rounded form with tapering sides, decorated with an engraved band of inscription-filled cartouches overlaid with rosettes, roundels containing flowerheads and foliate interlace, and lozenge motifs in the interstices";" the well has a rosette. Diameter 27 cm."",""Basin, brass, Yemen, 14th/15th century. The vessel is of rounded form with tapering sides and is decorated on the body with an engraved band containing inscription-filled cartouches overlaid with rosettes. These are interspersed by roundels containing flowerheads and foliate interlace, while the interstices are filled with lozenge motifs. The well is decorated with a rosette. The basin measures 27 cm in diameter."",76";;;;;;
"76,0-آثارنا المنهوبة_10_p078_f2f3e7cb,""LOT 0722A006D995 SOLD. [ translate ] Islamic, Yemen, Rasulid-Dynasty, al-Muzaffar Yusuf, 1249–1295, Dirhem, 'Adan, AH 650 (1252 AD), 1.82 g. Islamic, Yemen, Rasulid-Dynasty, al-Muzaffar Yusuf, 1249-1295, Dirhem, 'Adan, AH 650 (1252 AD), 1.82 g...."",159,,,""Dirhem, silver, Islamic, Yemen, Rasulid Dynasty, al-Muzaffar Yusuf, struck at 'Adan, AH 650 (1252 AD), 1.82 g."",""Dirhem, silver, Islamic coin from Yemen, issued under the Rasulid Dynasty during the reign of al-Muzaffar Yusuf (1249–1295). The coin was struck at 'Adan and dated AH 650 (1252 AD). Recorded weight: 1.82 g."",77";;;;;;;
"77,0-آثارنا المنهوبة_10_p079_c497918f,""LOT 858CD4CB5452 SOLD. [ translate ] Islamic, Yemen, Rasulid-Dynasty, al-Muzaffar Yusuf, 1249–1295, Dirhem, mint Adan, 1.91 g. Islamic, Yemen, Rasulid-Dynasty, al-Muzaffar Yusuf, 1249-1295, Dirhem, mint Adan."",160,,,""Dirhem, silver, Islamic, Yemen, Rasulid Dynasty, al-Muzaffar Yusuf, 1249–1295, mint of Adan, 1.91 g."",""Dirhem, silver, Islamic, Yemen, Rasulid Dynasty, issued under al-Muzaffar Yusuf (1249–1295), minted at Adan, weighing 1.91 g. The object is identified as an Islamic dirhem from Yemen and the source text provides the ruler, dynasty, mint, and weight."",78";;;;;;;
"78,0-آثارنا المنهوبة_10_p080_6756332a,""LOT 0164 A RASULID LACQUERED CYLINDIRCAL WOOD BOX, EGYPT OR YEMEN, 14TH CENTURY [ translate ] With flat base and slightly sloping sides, the upper edge with slight recess to fit a lid, the exterior wooden surface overlaid in a succession of black, red, yellow and green lacquers, then carved through to reveal a polychrome design, the broad central band with lobed rectangular panels containing scrolling arabesques around quatrefoil roundels, the borders of the panels entwining and continuing into lobed concentric quatrefoils dividing each panel, a band below of stylized thuluth calligraphy interrupted by roundels containing quatrefoil panels, the base and interior plain with remains of monochrome lacquer, 16.2 cm. The technique of decoration of our box is in the same tradition ans would point to an attribution to 14th or 15th century Mamluk Egypt indicated by the finds from Qusair al-Qadim.â€¨â€¨The shape of our object has counterparts in other items from Mamluk Egypt. diam.PROVENANCE Christieâ€™s, 17th October 1995, lot 269.Private collection, GreeceCATALOGUE NOTE While later Islamic lacquer has been studied extensively, the history of the technique in early Islamic times is still obscure. Given the possible Chinese origins of the technique it is certainly relevant that there exist a number of 15th century cylindrical lidded boxes from China, decorated in a Chinese manner with peony scrolls and phoenixes (Garner, Sir H.: Chinese lacquer, London, 1979, figs. In Persia a small fragment was found during the excavations at Ghubayra which has been given a thirteenth century attribution (Fehervari, G., â€˜Near Eastern Lacquerwork"",161,,,""Box, wood, cylindrical, with flat base and slightly sloping sides, 14th century, Egypt or Yemen. The exterior is overlaid with black, red, yellow, and green lacquers and carved through to form a polychrome decorative design with scrolling arabesques, quatrefoil roundels, lobed rectangular panels, and stylized thuluth calligraphy."",""Box, wood, cylindrical, with flat base and slightly sloping sides and a slight recess at the upper edge to receive a lid, 14th century, Egypt or Yemen. The exterior wooden surface is overlaid in successive layers of black, red, yellow, and green lacquer and carved through to reveal a polychrome decoration. The broad central band is composed of lobed rectangular panels containing scrolling arabesques around quatrefoil roundels, with panel borders that entwine and continue into lobed concentric quatrefoils dividing each panel. Below is a band of stylized thuluth calligraphy interrupted by roundels containing quatrefoil panels. The base and interior are plain, with remains of monochrome lacquer. The object measures 16.2 cm in diameter."",79";;;;;;;
"79,0-آثارنا المنهوبة_10_p081_235de0d7,""(A.1105), lightly toned, obverse good very fine, reverse a crude cut die, but very fine, extremely rare *ex Spink Zurich Auction 31, 20th June 1989, Lot 178. LOT 3093 Islamic Coins [ translate ] Rasulid, al-Mu’ayyad Da’ud (696-721h), silver dirham, Dufar, 721h, wt. Dufar was the easternmost Rasulid mint established in the old port town, today it is now the centre of the modern Omani city of Salalah."",162,,,""Coin, silver dirham. Rasulid, al-Mu’ayyad Da’ud (696-721h), struck at Dufar in 721h. Lightly toned, with obverse in good very fine condition and reverse from a crude cut die, but very fine."",""Coin, silver dirham. Rasulid issue of al-Mu’ayyad Da’ud (696-721h), struck at Dufar in 721h. The coin is lightly toned";" the obverse is described as good very fine, while the reverse is from a crude cut die but remains very fine. Dufar was the easternmost Rasulid mint, established in the old port town that is now the centre of the modern Omani city of Salalah. The piece is noted as extremely rare."",80";;;;;;
"80,0-آثارنا المنهوبة_10_p082_6e058211,""RASULID (Yemen), Al-Mudhaffar Samsaddin Yusuf (AH in Switzerland LOT 4010 RASULID (Yemen), Al-Mudhaffar Samsaddin Yusuf (AH [ translate ] Album 1102. XF 4495 Past » View it on Login Sale price Unlock Estimate Unlock Time, Location 08 Nov 2017 Switzerland, Lausanne Auction House Unlock [ translate ] Album 1102. XF 4495 Sale price Unlock Estimate Unlock Time, Location 08 Nov 2017 Switzerland, Lausanne Auction House Unlock Past » View it on Login"",163,,,""Coin, metal, attributed to the Rasulid period (Yemen), under Al-Mudhaffar Samsaddin Yusuf. Album 1102, XF 4495."",""Coin, metal, attributed to the Rasulid period in Yemen, under Al-Mudhaffar Samsaddin Yusuf. The source text identifies it as Album 1102, XF 4495. No further technical, typological, dimensional, or chronological details are provided in the source."",81";;;;;;;
"81,0-آثارنا المنهوبة_10_p083_ac6e1897,""LOT 3020 Islamic Coins [ translate ] Islamic Coins, Rasulid, al-Mu’ayyad Da’ud (696-721h), gold dinar, ‘Adan 718h, wt. The principle difference is that, unlike the latter, the Rasulids included both the mint name and date in their legends. These gold issues may have been issued to facilitate trade with India."",164,,,""Coin, gold. Rasulid gold dinar of al-Mu’ayyad Da’ud (696–721 AH), struck at ‘Adan in 718 AH."",""Coin, gold. Rasulid gold dinar of al-Mu’ayyad Da’ud (696–721 AH), struck at ‘Adan in 718 AH. The source notes that, unlike the latter, the Rasulids included both the mint name and date in their legends. These gold issues may have been issued to facilitate trade with India."",82";;;;;;;
"82,0-آثارنا المنهوبة_10_p095_f45e4544,""How to sell 269 — Five Roman glass vessels 5 £500 - £700 270 — Eight Roman glass vessels 8 £1,500 - £2,000 19 — A Late Roman or Byzantine solid gold bracelet with agate cabochon £6,000 - £8,000 21 — A large Roman green glass jug £4,000 - £6,000 22 — A Roman aubergine glass jug £2,000 - £3,000 11 — An Egyptian wood Ptah-Sokar-Osiris £2,000 - £3,000 18 — A Roman bronze figure of Minerva £3,000 - £5,000 10 — Two Egyptian wood model brewers or oarsmen £1,500 - £2,000 20 — A Roman aubergine ribbed glass bottle £300 - £500 13 — A South Arabian bronze erotic statuette £600 - £800 15 — A large Near Eastern copper alloy pectoral £3,000 - £5,000 14 R — A Luristan iron sword with a bronze grip £1,000 - £1,500 17 — A Roman bronze incense burner with dolphin handle £1,500 - £2,000 16 — A Luristan bronze horsebit £800 - £1,200 12 — An Egyptian alabaster jar with rope-twist band £1,500 - £2,000 8 — A large Egyptian turquoise faience amulet of Bastet £2,000 - £3,000 9 — An Egyptian bronze statuette of a kneeling king £1,500 - £2,000 6 — A large Egyptian limestone shabti £2,000 - £3,000 5 — An Egyptian green glazed faience shabti for Pa-Her-Mer, Overseer of the Treasury £1,200 - £1,800 3 — An Egyptian pale green glazed faience shabti for the Overseer of the Treasury, Psamtek, 'Good name', Iahmes, born to Bastet-ir-dis £2,000 - £3,000 2 — An Egyptian gilded polychrome painted cartonnage mummy mask £3,000 - £5,000 1 — An Egyptian polychrome painted cartonnage mummy mask £2,000 - £3,000 Previous Lot Next Lot Lot 174 *,W Antiquities 1 May 2013, 10:30 BST London, New Bond Street Sold for £3,500 inc. Antiquities View Conditions of Sale Bid now on these items An Egyptian pale green glazed faience shabti for Howedja, born to Shedet £3,000 - £5,000 Two Luristan bronze swords 2 £800 - £1,200 Five Roman glass vessels 5 £500 - £700 Eight Roman glass vessels 8 £1,500 - £2,000 A Late Roman or Byzantine solid gold bracelet with agate cabochon £6,000 - £8,000 A large Roman green glass jug £4,000 - £6,000 A Roman aubergine glass jug £2,000 - £3,000 An Egyptian wood Ptah-Sokar-Osiris £2,000 - £3,000 A Roman bronze figure of Minerva £3,000 - £5,000 Two Egyptian wood model brewers or oarsmen £1,500 - £2,000 A Roman aubergine ribbed glass bottle £300 - £500 A South Arabian bronze erotic statuette £600 - £800 A large Near Eastern copper alloy pectoral £3,000 - £5,000 A Luristan iron sword with a bronze grip £1,000 - £1,500 A Roman bronze incense burner with dolphin handle £1,500 - £2,000 A Luristan bronze horsebit £800 - £1,200 An Egyptian alabaster jar with rope-twist band £1,500 - £2,000 A large Egyptian turquoise faience amulet of Bastet £2,000 - £3,000 An Egyptian bronze statuette of a kneeling king £1,500 - £2,000 A large Egyptian limestone shabti £2,000 - £3,000 An Egyptian green glazed faience shabti for Pa-Her-Mer, Overseer of the Treasury £1,200 - £1,800 An Egyptian pale green glazed faience shabti for the Overseer of the Treasury, Psamtek, 'Good name', Iahmes, born to Bastet-ir-dis £2,000 - £3,000 An Egyptian gilded polychrome painted cartonnage mummy mask £3,000 - £5,000 An Egyptian polychrome painted cartonnage mummy mask Amended £2,000 - £3,000 Framed with a raised flat border, inscribed with seven lines of Qatabanian script, mentioning a 'dedication of bronze', referring to the plaque itself, 14¼in x 11in (36cm x 28cm) Footnotes Provenance : German private collection, acquired in the 1980s. Find your local specialist Ask about this lot New Bond Street [email protected] Client Services (UK) Tel: +44 20 7447 7447 [email protected] Shipping (UK) Tel: +44 20 7468 8302 [email protected] A South Arabian bronze votive plaque Circa 1st-2nd Century B.C. Buyers' Premium and Charges For all Sales categories, buyer's premium excluding Cars, Motorbikes, Wine, Whisky and Coin & Medal sales, will be as follows: Buyer's Premium Rates 28% on the first £40,000 of the hammer price"",167,,,""Plaque, bronze. South Arabian bronze votive plaque, framed with a raised flat border and inscribed with seven lines of Qatabanian script mentioning a dedication of bronze. Circa 1st-2nd century B.C.";" 14¼ in x 11 in (36 cm x 28 cm)."",""Plaque, bronze. South Arabian bronze votive plaque, framed with a raised flat border and inscribed with seven lines of Qatabanian script. The inscription mentions a dedication of bronze and refers to the plaque itself. The object is dated to circa 1st-2nd century B.C. Dimensions are 14¼ in x 11 in (36 cm x 28 cm)."",83";;;;;;
"83,0-آثارنا المنهوبة_16_p003_a478c1a3,""Furniture 8,147 items, 125 followers Paintings 9,158 items, 416 followers Coins, Currency, & Stamps 7,234 items, 46 followers Home & Décor 38,468 items, 360 followers Fashion 4,110 items, 205 followers Chinese Antiques 13,505 items, 22 followers Photography 1,697 items, 33 followers Watches 4,379 items, 75 followers Rings 32,103 items, 49 followers Oil Paintings 2,527 items, 36 followers Toys, Dolls, & Games 2,839 items, 44 followers Clocks 738 items, 12 followers Japanese Antiques 1,086 items, 10 followers Rugs & Carpets 3,006 items, 37 followers Prints & Multiples 8,971 items, 78 followers Spring Finds Early 20th Century Design California & Western Art Fine Jewelry European Furniture Trending Items 6 days Left HUGE Vintage Estate Jewelry Box Lot FULL Of Vintage Jewelry Sabertooth Auctions $285 (8 bids) Apr 24, 2026 Leica M2 Rangefinder Camera & Accessories NJ Antiques $950 (8 bids) May 02, 2026 Cartier Ruby And Diamond 18k Yellow Gold Ring J. Worth, TX, US Collectors Auction Pokémon, Sports Cards & Jewelry VANGOVE Ends from: Los Angeles, CA, US April 11th Firearms-Militaria Online Only Auction Echoes of Glory International Military Auction House Ends from: Virginia Beach, VA, US Closing 4-9 Coins, Collectibles & Risque Items A New Day Auctions LLC Ending Now Cannon Falls, MN, US Live 183 Bourbon, Whiskey, Wine, Cigars, Accessories Lot 14 Auctions Started: Niles, IL, US Live 217 Fine Jewelry, Vintage Glass & More-Multi Kellie's Estate Sales Started: Okemos, MI, US Live 87 Splendid Relics: The Art of Asian Dynasties harbor auction inc Started: Corona, CA, US Interiors Freeman's Ends from: Philadelphia, Palm Beach, Chicago, IL, US 6 days Left Lot 8 Signed Sterling Silver & 800 Silver Spoons The Benefit Shop Foundation Inc. Worth, TX, US Collectors Auction Pokémon, Sports Cards & Jewelry VANGOVE Ends from: Los Angeles, CA, US April 11th Firearms-Militaria Online Only Auction Echoes of Glory International Military Auction House Ends from: Virginia Beach, VA, US Closing 4-9 Coins, Collectibles & Risque Items A New Day Auctions LLC Ending Now Cannon Falls, MN, US Live 183 Bourbon, Whiskey, Wine, Cigars, Accessories Lot 14 Auctions Started: Niles, IL, US Live 217 Fine Jewelry, Vintage Glass & More-Multi Kellie's Estate Sales Started: Okemos, MI, US Live 87 Splendid Relics: The Art of Asian Dynasties harbor auction inc Started: Corona, CA, US Interiors Freeman's Ends from: Philadelphia, Palm Beach, Chicago, IL, US TOP Let's go treasure-hunting. April 15, 2026, 10:00 AM EDT April 11th Berkeley Banker Coin Auction Gold Standard Auctions April 11, 2026, 11:00 AM EDT April Curated Finds Part II Chairish Auctions LIVE It's Good To Be Lucky Lucky's International LLC April 16, 2026, 11:00 AM EDT Certified Genuine Fine Jewelry Sale Riverside Galleries April 10, 2026, 8:00 AM EDT Spring Native American & Southwest Jewelry Retro Roadshow Auctions April 18, 2026, 11:00 AM EDT Miami Beach Bayfront Art Estate Lion and Unicorn April 12, 2026, 12:00 PM EDT Lab Grown Liquidations 10 Triple SSS Designs April 10, 2026, 3:00 AM EDT Certified Prestige Jewelry & Watch-Huge Sale! Gallery Auctions April 13, 2026, 11:00 AM EDT Collectibles, Coins, Antiques, Jewelry Keystone Auction LLC April 12, 2026, 9:00 AM EDT The Numismatic & Philatelic Archive Bodnar's Auction Sales April 16, 2026, 11:00 AM EDT Arts of the Americas, Fine Jewelry, & Art Revere Auctions April 14, 2026, 11:00 AM EDT April Curated Finds Part I Chairish Auctions LIVE Collectors Auction April 16th Edition Williamson Auction Gallery April 16, 2026, 12:00 PM EDT Certified Exquisite Jewelry Big Sale | Day3 Elbert Gallery LIVE Sports, Art, Pop Culture Park Place Holdings Inc. GARRETT $950 (10 bids) 2 days Left Bridgewerks Modern G Scale Magnum 200-R Transformer Harris Toy & Train Auctions $180 (7 bids) Apr 22, 2026 Nantucket Lightship Basket Purse Town and Sea $220 (5 bids) 3 days Left 2001 American Gold Eagle 1/10 oz Uncirculated Hibido Coins LLC $280 (5 bids) 4 days Left Hermes 3000 Typewriter Emanon Auctions and Estate Sales $78 (4 bids) 6 days Left Lot 8 Signed Sterling Silver & 800 Silver Spoons The Benefit Shop Foundation Inc. April 12, 2026, 6:00 PM EDT Fine Art Auction LIVE Saturday Apr 11 Deals Art Legacy Auctions April 11, 2026, 9:00 AM EDT Certified Timepiece & Jewels Liquidation 10 Papps Family Liquidation April 10, 2026, 3:00 AM EDT Native American | Fossils | Ancient Art Artemis Fine Arts April 12, 2026, 11:00 AM EDT Urban, Pop & Contemporary Art Robinhood Auctions April 12, 2026, 1:00 PM EDT Bullion Estate Liquidation Sale Series Southern Collectibles LLC April 16, 2026, 8:30 PM EDT April 15 Red Carpet Auction The Benefit Shop Foundation Inc. $475 (4 bids) 2 days Left Topps USFL Football Cards Denotter Auctions, LLC $75 (4 bids) 2 days Left Confederate and Southern States Currency Lot of 18 Hilliard & Co."",171,,,""Furniture, paintings, coins, currency, stamps, home décor, fashion, Chinese antiques, photography, watches, rings, oil paintings, toys, dolls, games, clocks, Japanese antiques, rugs and carpets, prints and multiples, and other auction categories are listed, along with multiple upcoming and live sales."",""Furniture, paintings, coins, currency, stamps, home décor, fashion, Chinese antiques, photography, watches, rings, oil paintings, toys, dolls, games, clocks, Japanese antiques, rugs and carpets, prints and multiples, and related categories are listed in an auction marketplace overview. The text also includes references to spring finds, early 20th century design, California and Western art, fine jewelry, European furniture, trending items, and multiple auction listings with dates, locations, and sale titles. No single object is described in detail beyond these category and auction references."",84";;;;;;;
84,0-آثارنا المنهوبة_16_p008_0033d68a,Bidspirit - منصة إسرائيلية للمزادات عبر الإنترنت | المشاركة مجانية,172,,,,,85;;;;;;;
85,0-آثارنا المنهوبة_16_p009_67e0ca1b,Bidspirit - منصة إسرائيلية للمزادات عبر الإنترنت | المشاركة مجانية,173,,,,,86;;;;;;;
"86,0-آثارنا المنهوبة_16_p010_1a66044c,""בידספיריט ישראל - מכירות פומביות: תכשיטים, אמנות, עתיקות ועוד"",174,,,""Auction platform, not an archaeological object."",""Auction platform, not an archaeological object. The source text refers to """"BidsSpirit Israel - Auctions: jewelry, art, antiquities and more,"""" which is commercial and does not provide a describable object, material, typology, dimensions, or period."",87";;;;;;;
87,0-آثارنا المنهوبة_16_p011_ba9f2252,Bidspirit - منصة إسرائيلية للمزادات عبر الإنترنت | المشاركة مجانية,175,,,,,88;;;;;;;
"88,0-آثارنا المنهوبة_16_p012_54866ff3,""בידספיריט ישראל - מכירות פומביות: תכשיטים, אמנות, עתיקות ועוד"",176,,,""Jewelry, art, and antiquities auction listing."",""Auction listing for jewelry, art, antiquities, and other objects. No specific object, material, typology, dimensions, or period is provided in the source text."",89";;;;;;;
89,0-آثارنا المنهوبة_16_p014_9c48a41b,Bidspirit - منصة إسرائيلية للمزادات عبر الإنترنت | المشاركة مجانية,178,,,,,90;;;;;;;
"90,0-آثارنا المنهوبة_5_p001_6d116178,""Lot n° 290 Go to lot Estimation : 8000 - 9000 EUR Orient - Lot 290 Orient Statuette votive représentant un dignitaire debout, vêtu d'un long pagne, tenant de la main gauche une longue canne. Sale information - Archéologie ARCHÉOLOGIE Expositions publiques : Drouot Montaigne Mardi 29 novembre 2011 de 15 heures à 20 heures Mercredi 30 novembre 2011 de 11 heures à 20 heures TÉLÉPHONE PENDANT L'EXPOSITION PUBLIQUE ET LA VENTE: +33 (0)1 48 00 20 91/92 Experts : CHRISTOPHE KUNICKI T: +33 (0)1 43 25 84 34 c.kunicki@orange.fr Sales conditions - Archéologie CLIQUEZ ICI POUR TÉLÉCHARGER LES CONDITIONS DE VENTES My orders Sale information Sales conditions Return to catalogue H_13,5 cm South Arabian bronze votive statuette figuring a standing dignitary. Sa coiffure est formée de courtes mèches."",253,,,""Statuette votive en bronze représentant un dignitaire debout, vêtu d'un long pagne et tenant une longue canne de la main gauche. La coiffure est formée de courtes mèches. H. 13,5 cm."",""Statuette votive en bronze représentant un dignitaire debout, de type sud-arabique, vêtu d'un long pagne et tenant une longue canne de la main gauche. La coiffure est formée de courtes mèches. L'objet mesure 13,5 cm de hauteur."",91";;;;;;;
"91,0-آثارنا المنهوبة_5_p001_9cc546a5,""Sale information - Archéologie ARCHÉOLOGIE Expositions publiques : Drouot Montaigne Mardi 29 novembre 2011 de 15 heures à 20 heures Mercredi 30 novembre 2011 de 11 heures à 20 heures TÉLÉPHONE PENDANT L'EXPOSITION PUBLIQUE ET LA VENTE: +33 (0)1 48 00 20 91/92 Experts : CHRISTOPHE KUNICKI T: +33 (0)1 43 25 84 34 c.kunicki@orange.fr Sales conditions - Archéologie CLIQUEZ ICI POUR TÉLÉCHARGER LES CONDITIONS DE VENTES My orders Sale information Sales conditions Return to catalogue Lot n° 295 Go to lot Estimation : 2000 - 3000 EUR Result without fees Result : 2 500EUR Orient - Lot 295 Orient Stèle iconique. H_27,5 cm South Arabian alabaster stelae. Fragment de stèle sculptée d'un visage de face stylisé, présentant un long nez droit et des yeux creux originellement incrustés. À la base, reste d'une inscription sudarabique gravée: nom du propriétaire. Péninsule sudarabique, fin du Ier millénaire av."",254,,,""Stela, alabaster. Fragment of a South Arabian sculpted stela with a stylized frontal face, a long straight nose, and hollow eyes originally inlaid. A fragment of a South Arabian inscription is preserved at the base."",""Stela, alabaster. Fragment of a sculpted stela depicting a stylized frontal face with a long straight nose and hollow eyes originally intended for inlay. The base preserves part of a South Arabian inscription, identified in the source as the owner's name. South Arabian Peninsula, late 1st millennium BC. Height: 27.5 cm."",92";;;;;;;
"92,0-آثارنا المنهوبة_5_p002_883e543c,""Informations sur la vente - Archéologie Archéologie Expositions publiques: Mardi 28 mai 2013 de 11 heures à 18 heures Mercredi 29 mai de 11 heures à 12 heures Tuesday 28th, 2013 from 11:00 am to 6:00 pm Wednesday 29th from 11:00 am to 12:00 pm Téléphone pendant l’exposition publique: Contact during viewings: Tél.: +33 (0)1 48 00 20 01 Experts: Christophe Kunicki Tél.: + 33 (0)1 43 25 84 34 c.kunicki@orange.fr Conditions de vente - Archéologie CLIQUEZ ICI POUR TÉLÉCHARGER LES CONDITIONS DE VENTES Mes ordres d'achat Informations sur la vente Conditions de vente Retourner au catalogue Lot n° 191 Aller au lot Estimation : 5000 - 6000 EUR Résultats sans frais Résultat : 4 500EUR TÊTE ICONIQUE. H_12,5 cm Ces têtes de petite dimension étaient généralement fichées sur des socles de calcaire inscrits du nom du propriétaire. Elle représente un homme à la coiffure courte - Lot 191 TÊTE ICONIQUE. Un collier de barbe en léger relief remonte jusqu'aux oreilles. Le visage triangulaire présente un nez long et fin surmontant une courte bouche. Elle représente un homme à la coiffure courte dégageant les oreilles. Au pays de la reine de Saba, catalogue d'exposition, Paris, 1997, p."",256,,,""Iconic head, material not specified. Small sculpted head representing a man with short hair, a triangular face, a long narrow nose, and a short mouth";" a lightly raised beard collar extends up to the ears. Height: 12.5 cm."",""Iconic head, material not specified. This small-scale head was generally mounted on inscribed limestone bases bearing the owner's name. The present example represents a man with short hair exposing the ears. The face is triangular in shape, with a long, slender nose above a short mouth, and a beard collar in slight relief rising to the ears. Height: 12.5 cm."",93";;;;;;
"93,0-آثارنا المنهوبة_5_p003_5f667732,""H_22 cm South Arabian alabaster and limestone stelae. Informations sur la vente - Archéologie Archéologie Expositions publiques: Drouot-Richelieu - Salle 1 Mercredi 30 et Jeudi 31 Mai de 11 heures à 18 heures Vendredi 1er Juin de 11 heures à 12 heures Téléphone pendant l'exposition publique: +33 (0)1 48 00 20 01 Experts: Christophe Kunicki T. Lot n° 190 Aller au lot Estimation : 3000 - 4000 EUR Résultats sans frais Résultat : 13 000EUR Stèle iconique. +33 (0)1 43 25 84 34 c.kunicki@orange.fr Conditions de vente - Archéologie CLIQUEZ ICI POUR TÉLÉCHARGER LES CONDITIONS DE VENTES Mes ordres d'achat Informations sur la vente Conditions de vente Retourner au catalogue Elle représente un visage de face, le nez tr - Lot 190 Stèle iconique. Elle représente un visage de face, le nez triangulaire surmontant une fine bouche."",257,,,""Stela, South Arabian alabaster and limestone, H. 22 cm. Iconic stela representing a face shown frontally, with a triangular nose above a narrow mouth."",""Stela, South Arabian alabaster and limestone, height 22 cm. Iconic stela depicting a face in frontal view. The facial features are rendered schematically, with a triangular nose surmounting a narrow mouth. The source text identifies the object as a South Arabian stela made of alabaster and limestone and gives its height as 22 cm."",94";;;;;;;
"94,0-آثارنا المنهوبة_5_p003_0a6629b7,""Sale information - Archéologie ARCHÉOLOGIE Expositions publiques : Drouot Montaigne Mardi 29 novembre 2011 de 15 heures à 20 heures Mercredi 30 novembre 2011 de 11 heures à 20 heures TÉLÉPHONE PENDANT L'EXPOSITION PUBLIQUE ET LA VENTE: +33 (0)1 48 00 20 91/92 Experts : CHRISTOPHE KUNICKI T: +33 (0)1 43 25 84 34 c.kunicki@orange.fr Sales conditions - Archéologie CLIQUEZ ICI POUR TÉLÉCHARGER LES CONDITIONS DE VENTES My orders Sale information Sales conditions Return to catalogue Lot n° 287 Go to lot Estimation : 1000 - 1200 EUR Orient - Lot 287 Orient Figurine représentant deux lézards côte à côte en vue aérienne. L_6,2 cm South Arabian bronze figurine depicting two lizards. Péninsule sudarabique, Ier millénaire av."",258,,,""Figurine, bronze, depicting two lizards side by side in aerial view. South Arabian Peninsula, 1st millennium BC. Length 6.2 cm."",""Figurine, bronze, depicting two lizards side by side in aerial view. The object is described as South Arabian and dated to the 1st millennium BC. It measures 6.2 cm in length. The source text identifies the subject as two lizards shown côte à côte, with the figure presented in plan view."",95";;;;;;;
