artifact_id,text_for_matching,text_for_matching_web,price,currency,description_short,description_long,description_col2
0-آثارنا المنهوبة_25_p081_07788e5d,"1 ( 3) . al-silwi 3. . 18 × 13 bidsquare . 18 × 13 bidsquare . A bronze engraving. The next inscription is from the public confession engravings studied by Ibrahim Al-Silwi 3 (Salawi 3), on a picture shown to him by the late Khalil Al-Zubairi. The text was presented without a photo in the Daci blog under the symbol al-silwi 3. The inscription is made of bronze, surrounded by a frame, and the inscription is rusty, written in the prominent al-Silwi 3.",A Sabean bronze plaque with text in seven lines with four holes for mounting and border line,,,"Plaque, bronze, Sabean, with text in seven lines, four mounting holes, and a border line.","Plaque, bronze, Sabean, inscribed with text arranged in seven lines. The plaque has four holes for mounting and a border line.","Plaque, bronze, Sabean, with text arranged in seven lines, four mounting holes, and a border line."
0-آثارنا المنهوبة_25_p082_810269e6,"2  . 439 - 473 20 2.40 LOT - ART 2.40 LOT - ART A Muslim Yemeni coin. A Muslim Yemeni coin (Dinar Goldi), dating back to the reign of the right state, was caught in Zebed, and dated back to the reign of the king of Ali Bin Mohammed Al-Salehi, on which the line of Semi-Koffi was written. Gold.","Head of Athena to right, wearing crested Attic helmet decorated with three olive leaves and palmette, and disc earring",,,"Head, material not specified, of Athena facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring.","Head, material not specified, of Athena facing right. The goddess wears a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring. No further technical, dimensional, or chronological information is provided in the source text.","Head of Athena, material not specified, facing right, wearing a crested Attic helmet decorated with three olive leaves and a palmette, and a disc earring."
0-آثارنا المنهوبة_25_p083_06963053,"3  . 532 - 484 / 1091 - 1137 1.09 18.00 LOT - ART 18.00 LOT - ART A Muslim Yemeni coin. A Muslim Yemeni coin, Denar Goldi, dating back to the reign of the good state, was caught in Jabala, and dated back to the reign of Al-Sal, the daughter of Ahmed Al-Salehi, was marked with a semi-Koffi line. Gold.","D.) Obverse: Within three concentric circles, Shiʿa kalima in a pseudo-Kufic style",,,"Coin, metal. Obverse with Shiʿa kalima in pseudo-Kufic style within three concentric circles.","Coin, metal. The obverse is decorated within three concentric circles and bears the Shiʿa kalima rendered in a pseudo-Kufic style. No further details are provided in the source text.","Coin, metal, with obverse decorated within three concentric circles by the Shiʿa kalima in a pseudo-Kufic style."
0-آثارنا المنهوبة_25_p084_712079d1,4 . ( 14.2 × 23.8 ) LOT - ART . ( 14.2 × 23.8 ) LOT - ART,"A fabulous hand-carved alabaster head of a man delineated in high relief, perhaps from a funerary stele, presenting a quixotic visage comprised of gazing almond-shaped eyes beneath thin brows, a slender nose above pursed lips, and protruding rectangular ears, all atop a stocky neck. A stylistically-similar example, of a slightly-larger size with similar facial hair stippling, hammered for $27,500 at Christie's, New York Antiquities auction (sale 3403, December 11, 2014, lot 84): Provenance: ex-private Texas, USA collection, acquired over 20 years ago by late husband All items legal to buy/sell under U.S. The people of these kingdoms created figural representations from alabaster and other stones, including stele with high relief faces honoring the deceased like this one. Size: 5.6"" W x 9.375"" H (14.2 cm x 23.8 cm)",,,"Head, alabaster, hand-carved in high relief, perhaps from a funerary stele. The male face has almond-shaped eyes, thin brows, a slender nose, pursed lips, protruding rectangular ears, and a stocky neck. Size: 5.6 in. W x 9.375 in. H (14.2 cm x 23.8 cm).","Head, alabaster, hand-carved in high relief, perhaps from a funerary stele. The object presents a male visage with gazing almond-shaped eyes beneath thin brows, a slender nose above pursed lips, protruding rectangular ears, and a stocky neck. The surface is described as quixotic in expression, and the head is noted as stylistically similar to another example with comparable facial hair stippling. The text identifies this type of figural representation as belonging to a tradition of alabaster and other stone stele with high relief faces honoring the deceased. Size: 5.6 in. W x 9.375 in. H (14.2 cm x 23.8 cm).","Alabaster head of a man, hand-carved in high relief, perhaps from a funerary stele, with gazing almond-shaped eyes beneath thin brows, a slender nose, pursed lips, protruding rectangular ears, and a stocky neck; the face is rendered in a stylized manner with facial hair stippling. Dimensions: 5.6 in. wide x 9.375 in. high (14.2 cm x 23.8 cm)."
0-آثارنا المنهوبة_25_p085_f13f7dbe,"5 . 5.75 11 (14.6 × 27.9 ) bidsquare 11 (14.6 × 27.9 ) bidsquare Hooves. A bunch of identical bull hooves of bronze are larger than normal size, each of which is superior to a large cube, and two of which have prominent holes above the cube for installation, three of which are hollow from the inside, with holes in the back of the cubes and on the foot base. Bronze.","Selling antiquities, ancient and ethnographic art online since 1993, Artemis Gallery specializes in Classical Antiquities (Egyptian, Greek, Roman, Near Eastern), Asian, Pre-Columbian, African / Tribal / Oceanographic art. Each stands slightly forward on its realistic hoof with two claws displayed, the cuboid slightly set over the back of the hoof rather than directly over it, with two naturalistic projections from the back, showing that the artisans who sculpted the molds to create these feet paid close attention to the details of bull anatomy. Four matching, more-than-life-sized cast bronze bull hooves, each capped by a large, cuboid shape, and with two have projecting slots atop the cuboid for attachment. The cuboid projections and slots on two of them suggest that they were made to hold a table or altar rather than a full statue of a bull. Another possibility is that these feet were part of a naos - a simple rectangular temple form - as in an example found near Haoulti, which had four feet shaped like bull's hooves, two pointing forward, and two pointing back, supporting a base that held a niche decorated with ornamentation. Size of each (all are relatively similar): 5.75"" W x 11"" H (14.6 cm x 27.9 cm) What might these massive hooves have graced? 1st millennium BCE to early 1st millennium CE, probably later in the period based on the lead weight, which was a later technological innovation to stabilize monumental statuary. For example, the sandstone offering table found at Swada and now at the Louvre (AO 31930) has an animal's head on the left and feet terminating in bull's hooves.",,,"Four cast bronze bull hooves, each with a cuboid upper element and two naturalistic projections at the back, probably intended as supports for a table, altar, or naos. Each measures 5.75 in. W x 11 in. H (14.6 cm x 27.9 cm) and is dated to the 1st millennium BCE to the early 1st millennium CE.","Four cast bronze bull hooves, each more-than-life-sized and similarly proportioned, with a realistic hoof form showing two claws, a cuboid element set slightly over the back of the hoof, and two naturalistic projections from the rear. Two of the examples have projecting slots on top of the cuboid, indicating attachment points. The form suggests that they may have served as supports for a table or altar rather than for a full bull statue; another possibility is that they belonged to a naos, a simple rectangular temple form. Each measures 5.75 in. W x 11 in. H (14.6 cm x 27.9 cm). The group is dated broadly to the 1st millennium BCE to the early 1st millennium CE, probably later in that range based on the lead weight mentioned in the source text.","Four cast bronze bull hooves, each with a cuboid upper element and two naturalistic projections at the back, with two examples preserving projecting slots on top of the cuboid for attachment; the hooves stand slightly forward on realistic feet with two claws visible, and the cuboid is set slightly back over the hoof rather than directly above it. The set is described as more-than-life-sized and may have served as supports for a table, altar, or possibly part of a naos, rather than for a full bull statue. Each measures approximately 5.75 in. wide by 11 in. high (14.6 cm x 27.9 cm). Date: 1st millennium BCE to early 1st millennium CE, probably later in the period."
0-آثارنا المنهوبة_25_p086_d1991843,"6 : [ / ]. 10 ×  5.5 ×  3 ×  7.25 ×  3.25 ×  1.5 ×  LOT - ART LOT - ART Human statues. A bunch of human statues, from the marble stone, are often similar in design and in movements and sizes, except for the statue in the middle, as it appears to be large, as it is the largest and only one with a pigeon in its hand, and at the bottom there is an inscription with a single line of the phalange line as follows: [A/T/R/R]. A marble stone.","[ translate ] South Arabian A Group of five alabaster figures To be sold without reserve Provenance: Private Collection of Dr. LOT 297 South Arabian A Group of five alabaster figures To... From the Dr Mohammed S Farsi Collection Dimensions: Ranging from 10 in. Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London.",,,"Group of five South Arabian alabaster figures, ranging in height from 10 in., from the Dr Mohammed Said Farsi Collection.","Group of five alabaster figures, South Arabian, from the Dr Mohammed Said Farsi Collection. The figures range in height from 10 in. Provenance given as the private collection of Dr. Mohammed Said Farsi (1936-2019), acquired between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London.","Group of five figures, alabaster, South Arabian A Group, comprising five alabaster figures. Dimensions range from 10 in. Provenance: private collection of Dr. Mohammed Said Farsi (1936–2019), acquired between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London."
0-آثارنا المنهوبة_25_p087_a80eaa61,"7 . 7  × 4  × 2.5  2.5  × 3  × 0.5  LOT - ART 7  × 4  × 2.5  2.5  × 3  × 0.5  LOT - ART Human statues. A bunch of human statues, from the marble stone, including two statues sitting and one standing under it writing in the blade line, a bust, and a little horse on it also writing in the bolt line, as well as a mural with an ox's head on it. A marble stone.","[ translate ] South Arabian A group of six stone elements, including two seated and one standing figure, one bust, one small horse, and one bull head To be sold without reserve Provenance: Private Collection of Dr. LOT 323 South Arabian A group of six stone elements, including... Mohammed Said Farsi (1936-2019), acquired between 1960-90 at Christie's, Sotheby's and Mayfair Galleries London.",,,"Stone group of six South Arabian elements, including two seated figures, one standing figure, one bust, one small horse, and one bull head.","Stone group of six South Arabian elements, comprising two seated figures, one standing figure, one bust, one small horse, and one bull head. The objects are described as South Arabian and made of stone. Provenance noted in the source text includes the private collection of Dr. Mohammed Said Farsi (1936-2019), with acquisitions made between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London.","Stone group, stone, comprising six elements: two seated figures, one standing figure, one bust, one small horse, and one bull head. South Arabian. Provenance: private collection of Dr. Mohammed Said Farsi (1936–2019), acquired between 1960 and 1990 at Christie’s, Sotheby’s, and Mayfair Galleries, London."
0-آثارنا المنهوبة_25_p088_83fc102a,"8 the-saleroom Two human statues and a face. Two human statues of marble stone, sitting position, plus an empty-eyed human mask, mouth and allen. A marble stone. the-saleroom",Yemeni Votive figures With alabaster head from Volterra From the Gaia Servadio Collection the saleroom Auction Calendar Auction Houses Featured Lots Sign in Register notifications_none notifications Alerts Home Auction Catalogues Sloane Street Auctions The Old Master Sale: ... Translation options: Translation options:,,,"Votive figure with alabaster head, from Volterra. The object is identified as Yemeni in the source text.","Votive figure with alabaster head, from Volterra. The source text identifies the object as Yemeni and notes its provenance from Volterra. No further technical, chronological, dimensional, or material details are provided in the source text.","Votive figures with alabaster head, from Volterra, from the Gaia Servadio Collection."
0-آثارنا المنهوبة_25_p093_28b41208,"3 : 1- / 2- / 3- / 35.50 phoenixancientart ( FB - Qataban). 35.50 phoenixancientart ( FB - Qataban). A human statue with a graffiti graffiti. A woman's human bust, from the marble stone, stretches her hands forward, falls behind her ears with hair, eyes with two restaurants and a long nose, and bars, placed on a separate inscription with a three-line strand line as follows: A marble stone.","Middle Bronze Age Faience Feline-Headed Cup Middle Bronze Age (17th-16th century B.C.) Near Eastern Gold Circular Censer Mid to late 3rd millennium BC Cypriot Limestone Male Head with a Conical Helmet End of the 7th - beginning of the 6th century B.C. Discover more Middle Bronze Age Faience Feline-Headed Cup Middle Bronze Age (17th-16th century B.C.) Cypriot Limestone Male Head with a Conical Helmet End of the 7th - beginning of the 6th century B.C. Material Dimensions H: 35.50 cm Reference 21362 Price $75,000 PDF Inquire Overview With bulbous coiffure, long nose, incised arched brows and large inlaid white stone pupils remaining, her arms bent at the elbows and held out in front, one hand clenched and pierced vertically for an attachment, the other held open, the square pedestalwith finely incised three line Old South Arabian dedicatory inscription reading “Am’al Kalan Barntum, and Haywu and Safliyan have dedicated (this monument) to Dha t’Adihanum, as all his dedicator’s due”. 1 / 2 South Arabian Alabaster Seated Figure of the Sun Goddess Near Eastern · 3rd Century B.C. This inscription is a dedication to the goddess, to settle the dedicators account with the deity","$75,000",USD,"Figure, alabaster. South Arabian seated figure of the Sun Goddess with bulbous coiffure, long nose, incised arched brows, and large inlaid white stone pupils remaining; the arms are bent at the elbows and held out in front, with one hand clenched and pierced vertically for an attachment and the other held open. H: 35.50 cm.","Figure, alabaster. South Arabian seated figure of the Sun Goddess, with a bulbous coiffure, long nose, incised arched brows, and large inlaid white stone pupils remaining. The arms are bent at the elbows and held out in front; one hand is clenched and pierced vertically for an attachment, while the other is held open. The figure stands on a square pedestal with a finely incised three-line Old South Arabian dedicatory inscription reading: “Am’al Kalan Barntum, and Haywu and Safliyan have dedicated (this monument) to Dha t’Adihanum, as all his dedicator’s due”. The inscription is described as a dedication to the goddess, to settle the dedicators’ account with the deity. Height: 35.50 cm. Reference 21362.","Figure, alabaster; South Arabian seated figure of the Sun Goddess, 3rd century B.C., with bulbous coiffure, long nose, incised arched brows, and large inlaid white stone pupils preserved; the arms are bent at the elbows and held out in front, one hand clenched and pierced vertically for an attachment and the other open; the figure stands on a square pedestal with a finely incised three-line Old South Arabian dedicatory inscription reading “Am’al Kalan Barntum, and Haywu and Safliyan have dedicated (this monument) to Dha t’Adihanum, as all his dedicator’s due,” identified as a dedication to the goddess to settle the dedicators’ account with the deity; height 35.50 cm."
0-آثارنا المنهوبة_25_p094_3329b4f9,"4 . 21 phoenixancientart 21 phoenixancientart A tombstone. He saw a human tomb, from the marble stone, with a clear glimpse of a face, a long nose and a beaver connected to the eyebrows, two eyes pierced and closed, and a very small mouth.","Middle Bronze Age Faience Feline-Headed Cup Middle Bronze Age (17th-16th century B.C.) Near Eastern Gold Circular Censer Mid to late 3rd millennium BC Cypriot Limestone Male Head with a Conical Helmet End of the 7th - beginning of the 6th century B.C. Discover more Roman Marble Head of Serapis-Ammon Roman, Roman, Roman, Roman · 2nd century A.D. Roman Marble Head of Serapis-Ammon Roman, Roman, Roman, Roman · 2nd century A.D. Hellenistic Greek Marble Head of Alexander the Great Greek · Hellenistic, Late 4th century B.C. The great variety of human representations, masculine and feminine, in South Arabian art is remarkable",,,"Cup, faience, Middle Bronze Age (17th-16th century B.C.).","Cup, faience, Middle Bronze Age (17th-16th century B.C.). The source text identifies a feline-headed cup from the Middle Bronze Age and specifies the material as faience. No further technical, dimensional, or contextual information is provided.","Faience feline-headed cup, Middle Bronze Age, 17th–16th century B.C.; gold circular censer, Near Eastern, mid to late 3rd millennium B.C.; limestone male head with a conical helmet, Cypriot, end of the 7th to beginning of the 6th century B.C.; marble head of Serapis-Ammon, Roman, 2nd century A.D.; marble head of Alexander the Great, Hellenistic Greek, late 4th century B.C. The source text also notes the great variety of human representations, masculine and feminine, in South Arabian art."
0-آثارنا المنهوبة_25_p095_9ee6e6c7,"5 : 1- 2- ] [ 200 - 200 190 / 120 1.98 LOT - ART LOT - ART A tombstone. A human tomb of marblestone, with a clear glimpse of a broad, long, eyebrow-related rectangular nose, two visible eyes and mediated by the pupils, a small mouth and a wide chin, below which there is a two-line strand writing: 1-RBL-2 [grp] A marble stone. About 200 before the miles. 200 miles before the miles.","200 BC-200 AD.An alabaster funerary stele bearing a stylised low-relief depiction of the deceased's face, emphasising the eyes and nose. LOT 0396 SOUTH ARABIAN ALABASTER FUNERARY STELE [ translate ] Ca. Size: L:190mm / W:120mm ",,,"Funerary stele, alabaster, South Arabian, ca. 200 BC-200 AD. Stylised low-relief depiction of the deceased's face, with emphasis on the eyes and nose. Size: L: 190 mm; W: 120 mm.","Funerary stele, alabaster, South Arabian, ca. 200 BC-200 AD. The stele bears a stylised low-relief depiction of the deceased's face, with the eyes and nose emphasised. The object is described as a South Arabian alabaster funerary stele. Recorded size: length 190 mm, width 120 mm.","Funerary stele, alabaster, dated to 200 BC–200 AD, bearing a stylised low-relief depiction of the deceased’s face with emphasis on the eyes and nose; South Arabian; dimensions: L. 190 mm, W. 120 mm."
0-آثارنا المنهوبة_25_p096_ca1b4fa3,6 . 200 - 100 70 / 50 375 LOT – ART 200 - 100 70 / 50 375 LOT – ART The head of a human statue.,LOT 0394 SOUTH ARABIAN ALABASTER HEAD [ translate ] Ca. Size: L:70mm / W:50mm ,,,"Head, alabaster, South Arabian, ca. L: 70 mm, W: 50 mm.","Head, alabaster, South Arabian, ca. L: 70 mm and W: 50 mm. The object is identified as a head and is made of alabaster. No further typological, contextual, or chronological information is provided in the source text beyond the South Arabian attribution and approximate size.","Head, alabaster, South Arabian, ca. 70 mm long and 50 mm wide."
0-آثارنا المنهوبة_25_p097_d944cef5,"7 . 200 - 100 165 / 115 2.11 . LOT - ART LOT - ART The face of a human statue. The face of a human statue of the marble stone, with clear glimpses, the eyes are blind, long and well-connected, and the eyebrows are strikingly connected, and the openings of the Alnov, the mouth is small and the chin is wide. Marblestone. About 200 before Miled-100 Miles.",LOT 0395 SOUTH ARABIAN ALABASTER FACE STELE [ translate ] Ca. Size: L:165mm / W:115mm ,,,"Face stele, South Arabian alabaster, ca. 165 mm long and 115 mm wide.","Face stele, South Arabian alabaster, of approximately 165 mm in length and 115 mm in width. The object is identified as a face stele; no further technical, typological, or contextual details are provided in the source text.","Face stele, alabaster, South Arabian, measuring approximately 165 mm in length and 115 mm in width."
0-آثارنا المنهوبة_25_p098_049174ca,"8 7 3/8 LOT - ART 7 3/8 LOT - ART The head of a human statue. The head of a statue of a man from the marble stone, with a glimpse of a clear face, the eyes of Luzitan and the eyebrows are packed, and a long, broken nose, with the mouth lips shut, on both sides with ears, with a short neck.","LOT 0084 Ancient South Arabian SABAEAN Alabaster head c.2nd century BC. Fine carved alabaster head of a man in high relief, with wide-open, almond-shaped eyes, arched browline, closed lips. [ translate ] Ancient South Arabian SABAEAN Alabaster head c.2nd century BC. Provenance: Ex",,,"Head, alabaster, Ancient South Arabian Sabaean, c. 2nd century BC. Fine carved head of a man in high relief with wide-open almond-shaped eyes, an arched browline, and closed lips.","Head, alabaster, Ancient South Arabian Sabaean, c. 2nd century BC. Fine carved alabaster head of a man in high relief, with wide-open almond-shaped eyes, an arched browline, and closed lips. The source text identifies the object as Ancient South Arabian, Sabaean, and notes a provenance statement that is incomplete in the provided text.","Head, alabaster, Ancient South Arabian Sabaean, c. 2nd century BC. Fine carved alabaster head of a man in high relief, with wide-open almond-shaped eyes, an arched browline, and closed lips."
0-آثارنا المنهوبة_10_p003_2e6655ff,"  Antiquities and Orlental Antiquities and Orlental A camel statue. A camel statue, clearly salty, stands on a rectangular base, has a pointy sleeve, the neck curved to the highest and the head highlighted to the pain. Marble. The first-second century before the Miles.","Ancient Figurines & Statues Greek Terracotta Seated Figure £ 1,150.00 Ancient Figurines & Statues Hellenistic Terracotta Female Head £ 295.00 Deities & Demi-Gods Roman Bronze Diana Figurine £ 1,300.00 Deities & Demi-Gods Roman Bronze Winged Cupid Figure £ 1,695.00 Rare South Arabian Alabaster Camel £ 695.00 A realistically carved figurine of a dromedary in alabaster: it stands four-square with head erect. Ancient Figurines & Statues Greek Terracotta Seated Figure £ 1,150.00 Ancient Figurines & Statues Hellenistic Terracotta Female Head £ 295.00 Deities & Demi-Gods Roman Bronze Diana Figurine £ 1,300.00 Deities & Demi-Gods Roman Bronze Winged Cupid Figure £ 1,695.00 Ancient South Arabia is a geographical label referring to a region occupied by six semitic kingdoms: Sabaʼ, Qatabān, Ma‘īn, Ḥaḍramawt, the Kingdom of Awsan, and the Himyarite Kingdom. Additional information Culture Near Eastern Region Near East (Western Asiatic) Stone Alabaster Related products Coptic Textiles Coptic Textile Fragment with Zoomorphic Decoration £ 270.00 Cat & Feline Figurines Marble of Lion Devouring Animal Head £ 495.00 Coptic Textiles Leaf Shaped Coptic Panel with Dancer £ 295.00 Storage Vessels Tang Dynasty Ink Stone Vessel £ 1,800.00 Customers also bought Maceheads Western Asiatic Sumerian Alabaster Macehead £ 495.00 you may also like... Home » All Antiquities » Ancient Figurines & Statues » Camel Figurines » Rare South Arabian Alabaster Camel Rare South Arabian Alabaster Camel £ 695.00 A realistically carved figurine of a dromedary in alabaster: it stands four-square with head erect. Out of stock Description Additional information Ancient South Arabia is a geographical label referring to a region occupied by six semitic kingdoms: Sabaʼ, Qatabān, Ma‘īn, Ḥaḍramawt, the Kingdom of Awsan, and the Himyarite Kingdom. The territory of these kingdoms corresponds to a modern-day area including Yemen, and extending into Oman, north to the Arabian oasis of Dedan, to Ethiopia, and even as far along as the East African Coast, into modern Tanzania. Their depiction is thus endowed with significance in several contexts: in religious rituals, as mythical creatures, and as incarnations or symbols of gods and goddesses. Animals occupied a prominent place in ancient art across a number of civilisations and across a variety of media, including painting, pottery, and jewellery.",695.00,GBP,"Figurine, alabaster: a realistically carved South Arabian camel, depicted as a dromedary standing four-square with head erect.","Figurine, alabaster: a realistically carved South Arabian camel, identified as a dromedary, standing four-square with its head erect. The object is described as belonging to Ancient South Arabia, a geographical label for a region occupied by the kingdoms of Sabaʼ, Qatabān, Ma‘īn, Ḥaḍramawt, the Kingdom of Awsan, and the Himyarite Kingdom. The source notes that the territory of these kingdoms corresponds to parts of modern-day Yemen and Oman, extending north to the Arabian oasis of Dedan, to Ethiopia, and as far as the East African coast, including modern Tanzania. The text also states that animal depictions in this region had significance in religious rituals and as mythical creatures, as well as as incarnations or symbols of gods and goddesses.","Figurine, alabaster, of a dromedary from South Arabia, realistically carved and standing four-square with the head erect. The object is described as Ancient South Arabian and is associated with the Near East (Western Asiatic) region."
0-آثارنا المنهوبة_10_p007_57cd23fb," 4 )"" ""  ""  . ""  . . 8.74 LAPADA LOT – ART A gold ring represents a seal. A gold ring with an elliptical jet carved on it in the line ""N"" and ""D"" on the left side. On the right side, scientists ""A"" and ""M."" The sun beam was also filmed at the top and bottom of the profile. Gold. Around the 2nd century, the Miles. 8.74 grams LAPADA Good. Repeat at the LOT auction","Dealer Contact Telephone +44 (0)208 364 4565 Mobile +44 (0)7833231322 Web antiquities.co.uk Email Contact Dealer Dealer Location The Gallery Trent Park Equestrian Centre Eastpole Farm House, Bramley Road Oakwood, N14 4UW, United Kingdom St James's Ancient Art 10 Charles II Street, Ground Floor St James London SW1Y 4AA View Map Object Description A South Arabian gold ring featuring a decorated, oval bezel. Date: Circa 2nd Century AD Dealer Location The Gallery Trent Park Equestrian Centre Eastpole Farm House, Bramley Road Oakwood, N14 4UW, United Kingdom St James's Ancient Art 10 Charles II Street, Ground Floor St James London SW1Y 4AA View Map Object Details dimensions W:1.6 x centimeters Dealer Opening Times By appointment only. South Arabian Gold Child’s Ring GBP 3,000.00 Contact Dealer To Purchase Object Description A South Arabian gold ring featuring a decorated, oval bezel. Date: Circa 2nd Century AD Object Literature Acquired 1970-1999. Comprised of a thick D-shaped hoop which flares outwards at the shoulders before widening to encompass the bezel. Incised lines have been used to create the particles of his hair, tied with a filet. To the left, from top to bottom, are the signs ‘nun’ (n) and ‘dal’ (d) respectively.","3,000.00",GBP,"Ring, gold, South Arabian, with a decorated oval bezel, circa 2nd century AD. Width: 1.6 cm.","Ring, gold, South Arabian, with a decorated oval bezel, circa 2nd century AD. The ring is described as a child’s ring and is comprised of a thick D-shaped hoop which flares outwards at the shoulders before widening to encompass the bezel. Incised lines have been used to create the particles of his hair, tied with a filet. To the left, from top to bottom, are the signs ‘nun’ (n) and ‘dal’ (d) respectively. Width: 1.6 cm.","Ring, gold, South Arabian, with a thick D-shaped hoop flaring outwards at the shoulders before widening to a decorated oval bezel; the bezel is incised with lines forming the figure’s hair, tied with a filet, and includes signs to the left identified as ‘nun’ (n) and ‘dal’ (d), from top to bottom. Circa 2nd century AD. Width 1.6 cm. Acquired 1970–1999."
0-آثارنا المنهوبة_10_p031_29d014fc,"1 10  21 439-59/ 1047-67 ) 2.49 451 (439-59/ 1047-67 Christies 12 Christies 12 Dinar's coin. Yemen, Ali Ben Mohammed 439-59/H 1047-67 m), DAN 2.49 g, Zbed 451, very soft Silver. (439-59/e 1047-67 m)","Promo tile carousel AUCTION SERIES | 2026 20th/21st Century Art worldwide AUCTION SERIES | March – May Christie’s Asia 40th Anniversary Sales Hong Kong AUCTION SERIES | 20 MAR – 17 APR Modern New York New York AUCTION SERIES | 20 MAR - 23 APR Collections Paris, London, New York Auction SERIES | 2026 Luxury at Christie’s Worldwide Upcoming Auctions, Private Sale Exhibitions & Events Calendar Calendar Auction Results 8 – 10 April Learning & Lectures Christie’s Education | Stewardship London Learn More 1 – 14 April Online Auction 24475 Watches Online: Hong Kong Edit Hong Kong Browse 14 April Live Auction 24836 Dans l'intimité de Pierre Bonnard : Collection Claude Terrasse Paris Browse 1 – 15 April Online Auction 24511 Collections: Including Ardbraccan House, Ireland and a Sicilian Palazzo London Browse 14 – 15 April Live Auction 24335 Prints and Multiples New York Browse 15 April Live Auction 24844 Radical Genius: Works on Paper from A Distinguished Private Collection Paris Browse 15 April Live Auction 24598 20th/21st Century Art - Evening Sale Paris Browse 16 April Live Auction 24225 Art Contemporain Paris Browse 16 April Live Auction 24167 Modern American Art New York Browse 20 March – 17 April Online Auction 24917 Modern American Art Online New York Browse 3 – 17 April Online Auction 24333 Photographs New York Browse 8 – 17 April Online Auction 24867 Henri Matisse : Tracer le lien, oeuvres sur papier de la Fondation Pierre et Tana Matisse Paris Browse 13 – 17 April Exhibition Lessons in Spring by Zoë Andrews London Discover Now 17 April Live Auction 24599 Art Impressionniste & Moderne Paris Browse 9 – 23 April Online Auction 24242 Collections: Including Russian icons and works of art from the collection of John Salant Rodgers New York Browse 13 – 23 April Online Auction 23813 Living with African and Oceanic Arts Paris Preview 14 – 24 April Online Auction 24715 The Cellar of an Obsessive Collector Part II: Online Hong Kong Preview 28 April Live Auction 24121 Fine Chinese Classical Paintings and Calligraphy Hong Kong Browse 28 April Live Auction 24425 The Mary and Cheney Cowles Collection of Indian Painting and Calligraphy London Browse 15 – 29 April Online Auction 24533 Fine and Rare Wines and Spirits, Featuring Property from the Cellars of King's College, Cambridge London Preview",,,"Auction series and calendar listing, printed text on promotional material, 2026.","Auction series and calendar listing, printed text on promotional material, 2026. The source text records a schedule of Christie’s auction series, online auctions, live auctions, exhibitions, learning events, and auction results across Hong Kong, Paris, London, and New York, with dates ranging from March to May 2026. It includes references to categories such as 20th/21st Century Art, Modern New York, Collections, Luxury, Watches, Prints and Multiples, Art Contemporain, Modern American Art, Photographs, Impressionniste & Moderne, Living with African and Oceanic Arts, Fine Chinese Classical Paintings and Calligraphy, Indian Painting and Calligraphy, and Fine and Rare Wines and Spirits.",No object is described in the source text; it consists of auction calendar and promotional listings only.
0-آثارنا المنهوبة_10_p059_d03964ed,"9 28  . 13.1 7.5 LOT - ART A bronze cup. A cylindrical cup (systical), with an upside-down hole, surrounds the body with a four-line engraving. Bronze. 4th and 3rd centuries BC 13.1 cm height and 7.5 cm diameter LOT - ART","A SOUTH-ARABIAN BRONZE BEAKER. in Israel LOT 594 A SOUTH-ARABIAN BRONZE BEAKER. [ translate ] A SOUTH-ARABIAN BRONZE BEAKER. 4th - 3rd century BCE. 13.1 cm high, 7.5 cm base diam. Covered with S. Arabian inscription. In very good condition. Ex Shlomo Moussaieff coll., Herzliyah. Past » View it on Login Sale price Unlock Estimate Unlock Reserve Unlock Time, Location 13 Oct 2022 Israel, Tel Aviv Auction House Unlock [ translate ] A SOUTH-ARABIAN BRONZE BEAKER. 4th - 3rd century BCE. 13.1 cm high, 7.5 cm base diam. Covered with S. Arabian inscription. In very good condition. Ex Shlomo Moussaieff coll., Herzliyah. Sale price Unlock Estimate Unlock Reserve Unlock Time, Location 13 Oct 2022 Israel, Tel Aviv Auction House Unlock Past » View it on Login",,,"Beaker, bronze, South Arabian, 4th–3rd century BCE. The vessel is 13.1 cm high with a base diameter of 7.5 cm and is covered with a South Arabian inscription.","Beaker, bronze, South Arabian, 4th–3rd century BCE. The vessel measures 13.1 cm in height and 7.5 cm in base diameter. It is covered with a South Arabian inscription. The object is described as being in very good condition. Provenance noted as ex Shlomo Moussaieff collection, Herzliyah.","Beaker, bronze, South Arabian, 4th–3rd century BCE; 13.1 cm high, 7.5 cm base diameter; covered with South Arabian inscription."
