artifact_id;pdf_name;page_num;numero_inventaire;type;description_texte_long;materiel;periode;dimensions;nom_musee_auction;etat;note;lien_ok
0-آثارنا المنهوبة_25_p073_ccc96b0e;0-آثارنا المنهوبة_25.pdf;73;73;تمثال حيواني;تمثال لحيوان الجمل، من البرونز، برأس مرفوع وأذنان بارزتان، يحيط برقبته طوق، يتوسط ظهره سنام.;برونز;حوالي القرن الأول قبل الميلاد- القرن الأول الميلادي;5 سم طول;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/Sabaean-Bronze-Camel-South-Arabian-Peninsula-5-cm-L/20361477-sabaean_bronze-22.8.18-catawiki
0-آثارنا المنهوبة_25_p074_35a83904;0-آثارنا المنهوبة_25.pdf;74;74;مائدة قرابين;مائدة قرابين من حجر المرمر، مستديرة الشكل ذات ثلاثة أرجل أسطوانية، سطحها مقعر وعلى جانبها خطوط عمودية بارزة.;حجر مرمر;حوالي القرن الثالث قبل الميالد إلى القرن األول الميالدي;الوزن 4.93 غرام، 15 مم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/Beautiful-South-Arabian-Alabaster-Tripod-Offering-Table/70c-beautiful_south-10.11.22-artemiinfo@goam.gov.ye
0-آثارنا المنهوبة_25_p075_ed367d40;0-آثارنا المنهوبة_25.pdf;75;75;رأس تمثال آدمي;رأس تمثال لرجل، من حجر المرمر، بملامح وجه واضحة، العينان مغمضتان، والأنف طويل وبارز، يقع أسفلهما فم صغير مجسد بخط أفقي مستقيم، وله رقبة قصيرة.;حجر مرمر;حوالي القرن الثاني الميلادي;الارتفاع 10.5 سم، والعرض 7,5 سم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/STLE-ICONIQUE-PNINSULE-SUD-ARABIQUE-CA-IIeSICLE-AV-J-C-IIeSICLE-AP/1-stle_iconique-10.10.18-tajan
0-آثارنا المنهوبة_25_p076_f2310d70;0-آثارنا المنهوبة_25.pdf;76;76;رأس تمثال آدمي;رأس تمثال لرجل، من حجر المرمر، بأنف بارز وطويل، وعينان غائرتان يعلوهما حاجبان مقوسان، الفم متناسق بشفتان بارزتان، الذقن عريض، واألذنان تبرزان من الجانبان.;حجر مرمر;حوالي القرن الثاني قبل الميالد- القرن الثاني الميالدي;7 بوصات ارتفاع، 5.5 بوصات عرض;liveauctioneers;جيدة;;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online
0-آثارنا المنهوبة_25_p077_5321dc89;0-آثارنا المنهوبة_25.pdf;77;77;آنية;آنية حجرية مخروطية الشكل من حجر المرمر، ذات فوهة مرتفعة قطرها أصغر من قطر قاعدتها، بدون غطاء، لها مقبضان في منتصف بدنها، تظهر عليها خطوط (عروق) ملونة باللون الأبيض من ذات الحجر.;حجر مرمر;حوالي القرن الثالث قبل الميالد;الوزن 4.93 غرام، 15 مم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/VASE-MINIATURE/296-vase_miniature-17.7.22-monte
0-آثارنا المنهوبة_25_p078_96776234;0-آثارنا المنهوبة_25.pdf;78;78;عملات يمنية قديمة;عملات يمنية قديمة، على أحد وجهيها تجسيد لطائر البومة، وبجوار بعضها أحرف لاتينية، أما الوجه الآخر فمن المرجح أنه يحوي تجسيد لوجه آدمي.;فضة;حوالي القرنين الرابع والثالث قبل الميالد.;الوزن 4.93 غرام، 15 مم;LOT - ART;جيدة;ست قطع;https://www.lot-art.com/auction-lots/A-LOT-OF-SIX-SILVER-OBOLS-AND-FRACTIONS-4th-3rd-CENTURY-BCE/42-six_silver-12.10.22-archaeological
0-آثارنا المنهوبة_25_p079_49144713;0-آثارنا المنهوبة_25.pdf;79;79;رأسي تماثيل آدمية;رأسي تماثيل رجالية، من حجر المرمر، أحدها برقبة طويلة وملامح وجه واضحة: الأنف مدبب، والعينان لوزيتان بخطوط محزوزة يتوسطهما البؤبؤان، يعلوهما حاجبان، والفم بارز بابتسامة كبيرة، والأذنان على جانبي الرأس. أما الثاني فرقبته قصيرة، وملامح الوجه واضحة أيضاً، الأنف عريض وطويل وبه كسر، والعينان لوزيتان بخطوط محزوزة، والفم بارز، وتبرز الأذنان على جانبي الرأس.;حجر مرمر;;;LOT - ART;جيدة;قطعتان .;https://www.lot-art.com/auction-lots/South-Arabian--Two-carved-heads-Provenance-Private-Collection/92-south_arabian-03.6.24-sloane
0-آثارنا المنهوبة_25_p080_bee8a24e;0-آثارنا المنهوبة_25.pdf;80;80;رؤوس تماثيل آدمية;رؤوس تماثيل آدمية، من حجر المرمر، مختلفة الأشكال واألحجام، أحدها مهشمة ومكسرة مالمحه، باإلضافة إلى جذع (صدر) تمثال;حجر مرمر;;;LOT - ART;جيدة;خمس قطع;https://www.lot-art.com/auction-lots/South-Arabian--A-group-of-five-alabaster-fragments-/322-south_arabian-12.6.24-sloane
0-آثارنا المنهوبة_25_p081_07788e5d;0-آثارنا المنهوبة_25.pdf;81;81;نقش برونزي;يعتبر النقش التالي من نقوش الاعتراف العلني قام بدراسته إبراهيم الصلوي باسم (الصلوي3)، عن صورة عرضها عليه المرحوم خليل الزبيري. تم عرض نصه بدون صورة في مدونة داسي تحت رمز al-silwi 3. والنقش مصنوع من مادة البرونز، يحيط به إطار، ويعاني النقش من الصدأ، مكتوب عليه بخط المسند البارز، مكون من سبعة أسطر.;برونز;حوالي القرن الأول قبل الميلاد;18 × 13 سم;bidsquare;سيئة;"نقش برونزي؛ النص منقوش بخط المسند البارز، مع صدأ.";https://www.bidsquare.com/online-auctions/deutsch/a-sabean-bronze-plaque-934469
0-آثارنا المنهوبة_25_p082_810269e6;0-آثارنا المنهوبة_25.pdf;82;82;عملة يمنية اسلامية;عملة يمنية إسلامية (دينار ذهبي)، يعود إلى عهد الدولة الصليحية، تم سكها في زبيد، وتعود إلى عهد لملك ا علي بن محمد الصليحي، دُون عليها بخط شبه كوفي.;ذهب;439 - 473 هـ;20 مم، 2.40 جم;LOT - ART;جيدة جداً;;https://www.lot-art.com/auction-lots/South-Arabia-Saba-AR-Unit/3014-south_arabia-08.3.25-timeline
0-آثارنا المنهوبة_25_p083_06963053;0-آثارنا المنهوبة_25.pdf;83;83;عملة يمنية اسلامية;عملة يمنية إسالمية (دينار ذهبي)، يعود إلى عهد الدولة الصليحية، تم سكها في جبلة، وتعود إلى عهد يدة الس ال .بنت أحمد الصليحي، دُون عليها بخط شبه كوفي;ذهب;532 - 484 هـ / 1091 - 1137 م;الوزن 1.09 غرام، القطر 18.00 مم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/Yemen-Sulayhid-Dynasty-Arwa-bint-Ahmad-12-Dinar-Dhu-Jibla-Mint-blundered-date-struck-between-1091-and-1137-AD/88573781-yemen_sulayhid-25.9.24-catawiki
0-آثارنا المنهوبة_25_p084_712079d1;0-آثارنا المنهوبة_25.pdf;84;84;رأس تمثال آدمي;رأس تمثال لرجل ، من حجر المرمر، برقبة طويلة، وملامح وجه واضحة، الأنف بارز وطويل، والعينان لوزيتان غائرتان، والحاجبان بارزان ومقوسان، والفم بارز يعلوه الشارب ويقع أسفله اللحية، ممثلة بصف من النقاط الصغيرة والمتراصة.;حجر مرمر;حوالي القرن الأول قبل الميالد إلى القرن الأول الميالدي;( ارتفاع14.2 × سم23.8 )سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Alabaster-Head-of-Bearded-Male/77f-fine_south-09.5.19-artemi
0-آثارنا المنهوبة_25_p085_f13f7dbe;0-آثارنا المنهوبة_25.pdf;85;85;حوافر;مجموعة من حوافر ثور متطابقة من البرونز أكبر من الحجم الطبيعي، كل منها يعلوها شكل مكعب كبير، واثنان منها لهما فتحات بارزة فوق المكعب للتثبيت، ثلاثة منها مجوفة من الداخل، مع فتحات في الجزء الخلفي من المكعبات وعلى قاعدة القدم.;برونز;حوالي األلفية األولى قبل الميالد إلى أوائل األلفية األولى الميالدية;حجم كل منها متشابهة نسبيًا 5.75 بوصة عرضًا، 11 بوصة ارتفاعًا (14.6 × 27.9 سم);bidsquare;جيدة;أربع قطع;https://www.bidsquare.com/online-auctions/artemis-gallery/set-of-4-sabean-bronze-bull-hoof-supports-2251316
0-آثارنا المنهوبة_25_p086_d1991843;0-آثارنا المنهوبة_25.pdf;86;86;تماثيل آدمية;مجموعة من التماثيل الآدمية، من حجر المرمر، متشابهة في التصميم وفي الحركات والأحجام غالباً، عدا التمثال الذي في الوسط فكما يبدو أنه كبيرهم إذ أنه الأكبر حجماً وهو الوحيد الذي يحمل بيده حمامة، وفي أسفله يوجد نقش بخط المسند مكون من سطر واحد كالتالي: [ ع ت / ذ ت / م ر ].;حجر مرمر;;تتراوح من 10 × بوصات (ارتفاع) 5.5 × بوصات (عرض) 3 × بوصات (عمق) إلى 7.25 × بوصات (ارتفاع) 3.25 × بوصات (عرض) 1.5 × بوصة (عمق);LOT - ART;ممتازة;خمس قطع;https://www.lot-art.com/auction-lots/South-Arabian-A-Group-of-five-alabaster-figures-To/297-south_arabian-12.6.24-sloane
0-آثارنا المنهوبة_25_p087_a80eaa61;0-آثارنا المنهوبة_25.pdf;87;87;تماثيل آدمية;مجموعة من التماثيل الآدمية، من حجر المرمر، تتضمن تمثالين جالسين وواحد واقف أسفله كتابة بخط المسند، وتمثال نصفي، وحصان صغير عليه هو الآخر كتابة بخط المسند، بالإضافة إلى لوحة جدارية عليها رأس ثور.;حجر مرمر;;تتراوح من 7 بوصات (ارتفاع) × 4 بوصات (عرض) × 2.5 بوصة (عمق) إلى 2.5 بوصة (ارتفاع) × 3 بوصات (عرض) × 0.5 بوصة (عمق);LOT - ART;ممتازة;ست قطع;http://lot-art.com/auction-lots/South-Arabian-A-group-of-six-stone-elements-including/323-south_arabian-12.6.24-sloane
0-آثارنا المنهوبة_25_p088_83fc102a;0-آثارنا المنهوبة_25.pdf;88;88;تمثالين آدميين ووجه;تمثالين آدميين من حجر المرمر، بوضعية الجلوس، باإلضافة إلى قناع آدمي مفرغ العينين والفم واألنف;حجر مرمر;;;the-saleroom;جيدة;ثالث قطع;https://www.the-saleroom.com/en-gb/auction-catalogues/sloanestreet/catalogue-id-sloane10020/lot-ed674a9d-b40b-42ee-bb49-b19300ff8a50
0-آثارنا المنهوبة_25_p089_96db7973;0-آثارنا المنهوبة_25.pdf;89;89;تمثال;تمثال لحيوان خرافي، بجسم وأقدام أسد، ورأس آدمي، وجناح مرتفع لأعلى، وذيل قصير جداً، يرفع يده اليمنى لأعلى، ويقف على عصى برونزية مبرومة من نفس مادة التمثال.;برونز;حوالي أواخر الألفية الأولى قبل الميالد;9.7 سم × 8.6 سم;liveauctioneers;جيدة;;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online
0-آثارنا المنهوبة_25_p090_98c5db64;0-آثارنا المنهوبة_25.pdf;90;90;تمثال حيواني;تمثال لحيوان الجمل، من البرونز، برأس مرفوع وأذنان بارزتان، يتوسط ظهره سنام، وذيله يلتصق بمؤخرة رجليه الخلفيتان.;برونز;حوالي القرن السادس قبل الميالد;;liveauctioneers;جيدة;;https://www.liveauctioneers.com/price-result/ancient-south-arabian-bronze-camel-c6th-century-bc/
0-آثارنا المنهوبة_25_p091_798e2234;0-آثارنا المنهوبة_25.pdf;91;91;لوحة جدارية ونقش مسند;لوحة جدارية يبرز منها نحت لصدر آدمي مع ظهور ذراعيه، باإلضافة إلى نقش حجري بخط المسند الغائر مكون من سطر واحد: ]...[ / س م ك ر ب / [...] ب;حجر مرمر;حوالي القرن الثاني للميالد;;liveauctioneers;جيدة;قطعتان;https://www.liveauctioneers.com/price-result/south-arabian-alabaster-fragment-w-inscription-c200-ad/
0-آثارنا المنهوبة_25_p092_aac8e3f9;0-آثارنا المنهوبة_25.pdf;92;92;تمثال آدمي;تمثال المرأة، من حجر المرمر، تقف على قاعدة مستطيلة، تمد يديها إلى الأمام، ترتدي أساور معدنية على معصميها، كما يغطي جسدها رداء طويل، يزين رقبتها عقد من نفس الحجر، مالمح وجهها واضحة، العينان غائرتان وكما يبدو أنهما كانتا مطعمتان، أما الشعر فهو باللون الأسود، وكما يزين أذنيها أقراط معدنية.;حجر مرمر، برونز;حوالي القرنان الثالث والثاني قبل الميالد;االرتفاع 38.5 سم;phoenixancientart;ممتازة;;https://phoenixancientart.com/work-of-art/south-arabian-alabaster-statuette-of-a-queen/
0-آثارنا المنهوبة_25_p093_28b41208;0-آثارنا المنهوبة_25.pdf;93;93;تمثال آدمي مع نقش مسند;تمثال نصفي آدمي المرأة، من حجر المرمر، تمد يديها الى الأمام، ينسدل من خلف أذنيها الشعر، العينان مطعمتان و الأنف طويل وبارز، تم وضعه على نقش منفصل عليه كتابة بخط المسند مكونة من ثلاثة أسطر كالتالي: 1- ع م ع ل ي / ب ن / ب ر ن ط م / و 2- ح ي و / و س ف ل ي ن / س ق ن ي / ذ 3- ت / أ د هـ ن م / ك ل / ش ر ع س;حجر مرمر;حوالي القرنان الثالث والثاني قبل الميالد;االرتفاع35.50 سم;phoenixancientart;ممتازة;(النقش وحده بال تمثال منشور في مدونة داسيFB - Qataban).;https://phoenixancientart.com/work-of-art/south-arabian-alabaster-seated-figure-of-the-sun-goddess/
0-آثارنا المنهوبة_25_p094_3329b4f9;0-آثارنا المنهوبة_25.pdf;94;94;شاهد قبر;شاهد قبر آدمي، من حجر المرمر، بمالمح وجه واضحة، وأنف طويل وبارز متصل بالحاجبان، العينان بارزتان ومغمضتان، والفم صغير جدا.;حجر مرمر;حوالي القرن الأول قبل الميالد، القرن الأول الميالدي;االرتفاع 21 سم;phoenixancientart;جيدة;;https://phoenixancientart.com/work-of-art/south-arabian-alabaster-abstract-head/
0-آثارنا المنهوبة_25_p095_9ee6e6c7;0-آثارنا المنهوبة_25.pdf;95;95;شاهد قبر;شاهد قبر آدمي من حجر المرمر، بمالمح وجه واضحة األنف مستطيل عريض وطويل ومتصل بالحاجبان، العينان بارزتان ويتوسطهما البؤبؤ، الفم صغير والذقن عريض، يوجد أسفله كتابة بخط المسند الغائر مكونة من سطرين كالتالي: 1- ع ر ج ل 2- ]غ ر ب [م;حجر مرمر;حوالي200 قبل الميالد - 200 ميالدي;"الطول190 مم / العرض120 مم؛ الوزن1.98 كجم";LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-ALABASTER-FUNERARY-STELE/396-south_arabian-05.11.23-apollo
0-آثارنا المنهوبة_25_p096_ca1b4fa3;0-آثارنا المنهوبة_25.pdf;96;96;رأس تمثال آدمي;رأس تمثال لرجل من حجر المرمر الأبيض، بملامح وجه بارزة، بفم صغير، والأنف بارز وعريض نسبياً، العينان بارزتان أيضاً ويتوسطهما البؤبؤ اللذان بالغالب قد فُقدا، ويعلو العينان الحاجبان، وعلى الجانبين تبرز الأذنان، كما تبرز من قمة الرأس فروة الشعر بشكل خفيف.;حجر مرمر;حوالي 200 قبل الميالد - 100 ميالدي;"الطول 70 مم / العرض 50 مم؛ الوزن 375 غرامًا";LOT – ART;جيدة جداً;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-ALABASTER-HEAD/394-south_arabian-05.11.23-apollo
0-آثارنا المنهوبة_25_p097_d944cef5;0-آثارنا المنهوبة_25.pdf;97;97;وجه تمثال آدمي;وجه تمثال آدمي من حجر المرمر، بملامح وجه واضحة، العينان غائرتان واألنف طويل وبارز ومتصل بالحاجبان بشكل ملفت للنظر، كما تم تجسيد فتحتي األنف، الفم صغير والذقن عريض.;حجر المرمر;حوالي200 قبل الميالد - 100 ميالدي;"الطول165 مم / العرض115 مم؛ الوزن2.11 كجم.";LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-ALABASTER-FACE-STELE/395-south_arabian-05.11.23-apollo
0-آثارنا المنهوبة_25_p098_049174ca;0-آثارنا المنهوبة_25.pdf;98;98;رأس تمثال آدمي;رأس تمثال لرجل من حجر المرمر، بمالمح وجه واضحة، العينان لوزيتان و الحواجب مقوسة محزوزة، و األنف طويل مكسور، يقع أسفله شفتا الفم المغلقتان، وعلى الجانبين تبرز األذنان، وله رقبة قصيرة;حجر مرمر;حوالي القرن الثاني قبل الميالد;ارتفاعه 7 3/8 بوصة;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/Ancient-South-Arabian-SABAEAN-Alabaster-head-c2nd-century-BC/84-ancient_south-20.10.24-palmyra
0-آثارنا المنهوبة_7_p001_5960eb81;0-آثارنا المنهوبة_7.pdf;1;;تمثال نصفً لرجل;تمثال لرجل نصفً ٌمثل االله الٌونان دٌونسٌوس واضح المالمح ٌزٌن الرأس الشعر الكثٌف , الوجه واضح بكامل تفاصٌله , الصدر بارز علٌه ن: قش بخط المسند مكون من سطرٌن. تم استخراجه من معبد هران.;برونز;الفترة الهلنستية - القرن الاول الميلادي;ارتفاع1,85سم;دار كريستوف;عرضت فً كال من : دار كريستوف;تاجر االثار االسرائيلي مُصيڤ–. inschrift-sabaeischer-mit-dionysos-des-bueste-publizierte-gallery.com/en/produkt/grosse-https://www.cb/;https://discountsonline.cheap2022.ru/content?c=bronzen%20kunstwerken&id=11
0-آثارنا المنهوبة_7_p002_6cd79c3e;0-آثارنا المنهوبة_7.pdf;2;;تمثال نصفى لرجل;تمثال نصفى لرجل واقف كامل المالمح, ليس لديه ارجل, مفقود منه الٌد اليسرى, الوجه واضح المالمح بكل تفاصيله, على رأسه بروز يشبه التاج;برونز;منتصف االلف االول الميالدي;;دار بركات;ليس لديه ارجل, مفقود منه الٌد اليسرى;مذكور ضمن قطع أثرية يمنية معروضة في مزادات (آثارنا المنهوبة7);http://www.barakatgallery.com/store/index.cfm/FuseAction/ItemDetails/Us/4432065/CFTOKEN/94613679/CategoryID/38/SubCategoryID/325/ItemID/23226.htm
0-آثارنا المنهوبة_7_p003_ba0a0c53;0-آثارنا المنهوبة_7.pdf;3;;تمثال لرجل واقف على قاعدة;تمثال لرجل مكتمل واضح مالمح الوجه, العيون لوزيتان واالنف بارز, اليدان قصيرتان ممدودة الى االمام, االرجل قصيرة, يقف على قاعدة مكعبة الشكل عليها نقش بخط المسند مكون سطر واحد يقرأ: و ه ب مǀ ذ ح;البستر;جنوب الجزيرة العربية منتصف الالف االول قبل الميلاد (اليمن القديم);;مزاد كـيوريتد لندن;مروضة في مزادات;نقش بخط المسند مكون سطر واحد.;https://bid.curatedauctions.co.uk/auctions/8217/curated10003/lot-details/bf693ff4-aeb000e805e7-813a-4fb1-20e7
0-آثارنا المنهوبة_7_p004_d9ae2b59;0-آثارنا المنهوبة_7.pdf;4;;رأس تمثال لرجل;رأس تمثال من الالبستر لشاهد قبر واضح الملامح، العيون لوزيتان محفورتان، الانف بارز، والفم صغير، طويل العنق، الرأس مشطوف من الخلف.;البستر;القرن الثالث قبل الميالد - قتبان;23سم;سوذب- لندن;معروضة حاليا في مزاد;قطع أثرية يمنية معروضة في مزادات (آثارنا المنهوبة 7).;https://www.sothebys.com/en/buy/auction/2022/ancient-qataban-woman
0-آثارنا المنهوبة_7_p005_52354a90;0-آثارنا المنهوبة_7.pdf;5;;رأس تمثال لرجل;رأس تمثال من البستر لشاهد قبر واضح المالمح، العٌون لوزٌتان غائرتان، االنف بارز الفم صغٌر، العنق طويل;البستر;القرن الثالث قبل المٌالد- قتبان;ارتفاع 24 سم;مزاد سوذب- لندن;معروضة حالٌا;;https://www.sothebys.com/en/buy/auction/2022/ancient-a/of-works-and-sculpture/a/of-head-alabaster-arabian-south-art/qataban-man
0-آثارنا المنهوبة_7_p006_bf9a00d0;0-آثارنا المنهوبة_7.pdf;6;;تمثال نصفً لرجل;راس تمثال من الالبستر لشاهد قبر واضح الملامح العيون لوزيتان غائرتان الانف بارز الفم صغير, العنق طويل;البستر;الالف الاول قبل الميلاد;33 ارتفاع سم;مزاد سوذبي- لندن;معروضة حالياً في مزاد سوذبي- لندن;;https://www.sothebys.com/en/buy/auction/2022/ancient-qataban-woman-a-of-bust-alabaster-arabian-south-art/a-of-works-and-e-sculptur
0-آثارنا المنهوبة_10_p001_e0434930;0-آثارنا المنهوبة_10.pdf;1;1;تمثال آدمي;تمثال آدمي لرجل، يداه ممدودتان نحو الأمام من حد المرفقين;برونز;القرن الاول- الرابع قبل الميالد;;Antiquities and Orlental;جيدة;( وجدت ايضاً في مزاد LAPADA );
0-آثارنا المنهوبة_10_p002_631afa0a;0-آثارنا المنهوبة_10.pdf;2;2;قالدة على شكل ثور;تعليقة قالدة بهيئة ثور رابض، يوجد فيه ثقب يخترق جانبيه، حالته الراهنة ممتازة;ذهب;القرن الاول- الثاني قبل الميالد;;Antiquities and Orlental;جيدة;;
0-آثارنا المنهوبة_10_p003_2e6655ff;0-آثارنا المنهوبة_10.pdf;3;3;تمثال جمل;تمثال لحيوان الجمل، واضح المالمح، يقف على قاعدة مستطيلة الشكل، له سنام مدببة، الرقبة منحنية الى األعلى والراس بارز الى األمام.;مرمر;القرن االول- الثاني قبل الميالد;;Antiquities and Orlental;جيدة;;https://www.antiquities.co.uk/shop/ancient-figurines-statues/camels/rare-south-arabian-alabaster-camel/
0-آثارنا المنهوبة_10_p004_4c2721f1;0-آثارنا المنهوبة_10.pdf;4;1;خنجر يمني (جنبية);جنبية بمقبض الغالف مصنوع من الجلد في الخلف ونحاس منقوش في الأمام ومثبت في مكانه بخطوط رفيعة من الجلد. الواجهة النحاسية مزينة بدوائر ونقاط وأشكال هندسية أخرى;فضة;أوائل القرن العشرين;العرض 9 × الارتفاع 33 × العمق 1 سم;LAPADA;جيدة;;https://lapada.org/artdagger/kanjar-jambiya-yemeni-vintage-fine-antiques/a
0-آثارنا المنهوبة_10_p005_545e800d;0-آثارنا المنهوبة_10.pdf;5;2;تمثال آدمي;تمثال آدمي لرجل، يداه ممدودتان نحو الأمام من حد المرفقين، يظهر الشكل عاري الصدر مرتديًا قماش، تم تقديم ملامح الوجه بأسلوب منمق، مع عيون مفتوحة على مصراعيها وأنف مستقيم.;البرونز;حوالي القرن الرابع- القرن الأول قبل الميالد;ح11 سم;LAPADA;جيدة;;https://lapada.org/art/bronze-sabaean-arabian-south-antiques/rare-idol/
0-آثارنا المنهوبة_10_p006_9a4ad919;0-آثارنا المنهوبة_10.pdf;6;3;تمثال;تمثال صغير ألسد من المرمر. رابض، على قاعدة مستطيلة نحتت مالمح وجهه بكل وضوح;مرمر;;:االرتفاع9.5 × العمق12.5 سم;LAPADA;جيدة;اسم القطعة: تمثال أسد;https://lapada.org/art/antiques/south-arabian-alabaster-lion-statuette/
0-آثارنا المنهوبة_10_p007_57cd23fb;0-آثارنا المنهوبة_10.pdf;7;4;خاتم ذهبي يمثل ختم;"خاتم من الذهب ب طار بيضاوي نحت علية كتابة بخط المسند )""نون"" (ن) و ""دال"" (د) في الجهة اليسرئ . في الجهة اليمين يظهر عالمتي ""ألف"" (أ) و (م). كما تم تصوير شعاع الشمس في أعلى الملف الشخصي وأسفله .";ذهب;حوالي القرن الثاني الميالدي;8.74 جرام;LAPADA;جيدة;تكرر في مزاد LOT – ART;https://lapada.org/art-and-antiques/south-arabian-gold-childs-ring/
0-آثارنا المنهوبة_10_p008_17bb71e2;0-آثارنا المنهوبة_10.pdf;8;1;مائدة قرابين;مائدة قرابين بإطار عريض يقف على أربعة أقدام مربعة. يتقدم المائدة نحت أربعة رؤوس وعل مع قرون حلزونية طويلة بارزة.;مرمر;القرن الثالث ق.م - الاول ق.م;17 سم L بما في ذلك الوعل - 6 11/16 × بوصة 10.5 سم;Artemission;جيدة;;
0-آثارنا المنهوبة_10_p009_562a976d;0-آثارنا المنهوبة_10.pdf;9;2;شاهد قبر;شاهدة قبر من المرمر على شكل وجه ادمي ال ، جبهة مسطحة علية حروف المسند له أنف طويل يؤدي إلى فم مغلق .;مرمر;القرن الثالث ق.م - الاول ق.م;12.6 سم طول- 4 15/16 بوصة;Artemission;جيدة;;
0-آثارنا المنهوبة_10_p010_ebdca4fd;0-آثارنا المنهوبة_10.pdf;10;3;تمثال;عبارة عن جمل واقف واضح المالمح االرجل متالصقة له سنام مرتفع ورقبة ممدودة إلى االمام عليها طوق بجرس.;برونز;القرن1 .ق.م- القرن1;5.9 سم الطول- 2 3/8 بوصة - 5.7 سم االرتفاع- 2 5/16 بوصة;Artemission;جيدة;;
0-آثارنا المنهوبة_10_p011_8da6a7a3;0-آثارنا المنهوبة_10.pdf;11;4;مقبض مسرجة على شكل وعل;عبارة عن مجسم لحيوان الوعل ذو قرون كبيرة معطوفة الى الخلف الوجه واضح المالمح اليدان قصيرة ومنحنية تمثل شكل الحركة أو القفز;برونز;1000 قبل الميالد;13.1 سم طول- 5 3/16 بوصة;Artemission;جيدة;;https://www.artemission.com/viewitemdetails.aspx?ItemNumber=32.36965&p age=2
0-آثارنا المنهوبة_10_p012_580fb51e;0-آثارنا المنهوبة_10.pdf;12;5;تمثال لراس رجل;رأس تمثال واضح المالمح الرقبة طويلة واالنف بارز العينان لوزيتان الفم صغير مغلق;مرمر;القرن الاول ق. م;12.5 سم ارتفاع- 4 15/16 بوصة;Artemission;جيدة;;
0-آثارنا المنهوبة_10_p013_2740452a;0-آثارنا المنهوبة_10.pdf;13;1;تمثال نصفي;رأس تمثال غير واضح المالمح العينان محفورة والفم كبير وألنف غير واضح المالمح;مرمر;القرن الثاني قبل الميالد- القرن االول الميالدي;2 بوصة ارتفاع (5.1 سم);;;;
0-آثارنا المنهوبة_10_p014_3517d3cf;0-آثارنا المنهوبة_10.pdf;14;2;سلسلة فضية;قالدة (صدرية ) محمولة بسلسلة فيها جوزة اسطوانية;فضة;منتصف القرن العشرين;حجم القالدة 3.3 بوصة طول × 0.65 بوصة عرض (8.4 سم × 1.7 سم);LIVEACUTIONRES;جيدة;;https://www.liveauctioneers.com/item/146473115_ye pendant - chain - silver - meni - capsule - hirz - w - necklace
0-آثارنا المنهوبة_10_p015_fdae0bd3;0-آثارنا المنهوبة_10.pdf;15;3;خاتم;خاتم يحتوي دائرة خارجية من الدوائر المتعرجة مع تشطيب يشبه الخرز - مع إطار لهجة حبل حول إعداد الإطار الذي يحمل الحجر. الحجر مستدير يحتوي على تصميمات تشبه الزهور مع فواصل بينهما.;فضة;قبل عام1950.;الخاتم مقاس8 ، بعرض26 مم. الحجر مستدير وappx. عرض14.5 مم. بلغ عرض الشريط حوالي3.2 مم;LIVEACUTIONRES;الحالة الراهنة جيدة;تكررت في مزاد Jasper5;
0-آثارنا المنهوبة_10_p016_8d1e3a76;0-آثارنا المنهوبة_10.pdf;16;4;دينار ذهبي;دينار من الذهب العباسي, ضرب صنعاء كتب على الوجه ( ال اله اال هللا وحده ال شريك له ) وفي الوجه األخر( هللا محمد رسول هللا );ذهب;313 هجري;1,69 جرام;LIVEACUTIONRES;جيدة;"932, gold ""amiri"" dinar (1.69g), San'a, ABBASID OF YEMEN: al-Muqtadir, 908-1058.2, AH313, A";
0-آثارنا المنهوبة_10_p017_a92235c9;0-آثارنا المنهوبة_10.pdf;17;1;شاهد قبر;"لوحة من المرمر لامرأة تحتضنها بذراعيها طفل رضيع، الوجه شهب دائري والعينان على شكل لوزتين غائرتان، معروضة في أحد المزادات في بريطانيا؛ مسروقة من متحف تعز.";مرمر;200 ق.م- 100 م;"20 × 13 سم؛ 7 7/8 × 5 1/8 بوصة";Barakat;معروضة في أحد المزادات في بريطانيا;إكس0543;
0-آثارنا المنهوبة_10_p018_49544eb2;0-آثارنا المنهوبة_10.pdf;18;2;تمثال;تمثال لرجل. مثال من المرمر الابيض لرجل منتصب القامة ضام ذراعيه على صدره، ملامح الوجه واضحة.;مرمر;600-300 قبل الميالد;16.5 × 7 سم;;;;
