artifact_id;wb_txt_shrt;wb_txt_lg;looted_text
0-آثارنا المنهوبة_10_p062_e4da8aed;"Horse, bronze, South Arabian, Hellenistic Period, 4th–3rd century BCE. Preserved with a green patina and in very good condition; only remains of the original small wheels survive.";Horse, bronze, South Arabian, Hellenistic Period, 4th–3rd century BCE. The object is described as a South-Arabian bronze horse with a nice green patina and in very good condition. Only remains of the original small wheels are preserved.;"Horse statue, bronze, depicting a horse standing on four legs with calves at the ends of the limbs; the mouth is open, and a rope is shown on the back, interpreted as indicating a harness for pulling a wagon. Bronze. 4th–3rd centuries BC. Height 12.1 cm; length 13.8 cm."
0-آثارنا المنهوبة_10_p063_7c650d5d;Statuette, bronze: South Arabian hollow-cast bronze statuette of a male rider, portrayed in a stylised manner, probably originally mounted on an animal, possibly a camel. The figure has a triangular opening on the chest and back, a belt around the waist, and short vertical grooves on the straight legs. Height 5 cm, excluding the stand.;Statuette, bronze: South Arabian hollow-cast bronze statuette of a male rider, rendered in a stylised form. The rider is shown with the right arm extended forward, held straight and stiff, with the hand in a semi-clenched fist. A triangular opening is present on both the chest and back, and a belt is wrapped around the waist, with short vertical grooves indicating clothing on the straight legs. The figure was likely mounted on an animal, possibly a camel, also modelled in bronze. The object measures 5 cm in height, excluding the stand. South Arabia is identified in the source as a region corresponding to parts of modern-day Yemen and extending into Oman, north to the Arabian oasis of Dedan, to Ethiopia, and as far as the East African coast into modern Tanzania.;Bronze human statue in standing position, with the lower extremities scattered and the upper left extremities broken. The chest has a hollow cavity in the form of an inverted triangle, and the waist is encircled by a belt. Dated to the 1st century BC–1st century AD.
0-آثارنا المنهوبة_10_p064_849e91cc;Head, alabaster, South Arabian, circa 1st century B.C. Female head.;Head, alabaster, South Arabian, circa 1st century B.C. The object is a female head carved in alabaster. No further technical, dimensional, or contextual information is provided in the source text.;Head-shaped tombstone, stone: carved in Albister stone, depicting a human head in relief with hair falling from below the ears to the back of the head, triangular eyes, a straight nose, and a small closed mouth.
0-آثارنا المنهوبة_10_p065_20d411b4;"Figure, alabaster. South Arabian standing male figure carved in one whole piece of alabaster, wearing a tunic and raised on an integral base, carved with an inscription; 42 cm high.";Figure, alabaster. South Arabian standing male figure carved in one whole piece of alabaster. The figure wears a tunic and is raised on an integral base. It is carved with an inscription. Height: 42 cm.;"Human statue, marble stone, with clear features, standing on a base; both hands are extended forward and broken, and the lower limbs are set on a cubic-shaped base. The current condition of the piece is very good."
0-آثارنا المنهوبة_10_p066_24a6970b;Head, alabaster, South Arabian, with inscription in Sabaean script, circa 1st millennium B.C.;Head, alabaster, South Arabian, with inscription in Sabaean script, circa 1st millennium B.C. The object is described as a head carved in alabaster and associated with South Arabian production. It bears an inscription in Sabaean script. No further details of size, condition, or findspot are provided in the source text.;Tombstone, stone: carved funerary marker with a human head in relief, from Albister stone. The face is shown with lightly incised eyes, ears on both sides of the head, a straight nose, and a beard indicated below the mouth.
0-آثارنا المنهوبة_10_p067_ac96fcd1;Bronze camel and rider, South Arabian Peninsula. Bronze camel with a naked rider or deity holding the reins in one hand.;Bronze camel and rider, South Arabian Peninsula. The object is a bronze camel with a naked rider or deity seated on it, holding the reins in one hand. No further technical, dimensional, or chronological information is provided in the source text.;"Statue, bronze. Camel statue with a passenger on its back, showing clear features; the rider is depicted holding a stone. The camel has a straight neck and a forward-facing head, rendered in motion. Dated to the 1st century BC."
0-آثارنا المنهوبة_10_p068_ba9aadb6;Coin, metal, with reverse type AQE showing an owl standing right with head facing, an olive spray, and a crescent moon in the upper left field.;Coin, metal, with reverse design AQE depicting an owl standing right with head facing. An olive spray and a crescent moon are present in the upper left field. No further details on denomination, dimensions, or date are provided in the source text.;"Coin, metal, 4.85 g. Ancient Yemeni coin dated 354–340 BC, showing Greek influence. One face depicts an owl and a combination of two letters; the other face shows a human face with a pammelsand nose on the cheek."
0-آثارنا المنهوبة_10_p069_fbb166c8;Coin, metal, with reverse type showing an owl standing right, head facing, with an olive spray and crescent moon in the upper left field.;Coin, metal, with reverse design of an owl standing right with head facing. An olive spray and crescent moon are placed in the upper left field. The description is limited to the reverse type as given in the source text.;Coin, metal. Ancient Yemeni coin showing Greek influence, with one face depicting an owl and a combination of two letters, and the other face depicting a human face with the nose shown on the cheek. Dated 354–340 BC. Weight 5.52 g.
0-آثارنا المنهوبة_10_p071_9aa6662e;Object type and material are not specified in the source text. The text notes that some objects were accidentally lost in baths or toilets, or due to the vicissitudes of nature and war. Provenance: private East Coast, USA collection.;Object type and material are not specified in the source text. The available information states that others were accidentally lost in baths or toilets, or due to the vicissitudes of nature and war. The only provenance given is a private East Coast, USA collection.;Earring, gold, with an open knot of the same material, semi-circular in shape, decorated with mannequin-shaped elements and a crater carved with adjacent lines. 5th century BC. 2.5 × 2.2 cm.
0-آثارنا المنهوبة_10_p072_6288a421;Coin, silver, South Arabian Sabaean imitative owl drachm, 354-340 BC. Obverse: head of Athena right, wearing a crested helmet and circular earring, eye in profile, with South Arabian letter 'N' on the cheek. Reverse: AQE with owl standing right, head facing, olive spray and crescent moon in the upper left field.;Coin, silver, South Arabian Sabaean imitative owl drachm, dated 354-340 BC. The obverse shows the head of Athena facing right, wearing a crested helmet and a circular earring, with the eye shown in profile and the South Arabian letter 'N' on the cheek. The reverse bears the inscription AQE and depicts an owl standing right with head facing, accompanied by an olive spray and a crescent moon in the upper left field. Reference cited: Van Alfen Studies 4, 7 and 11.;"Coin, metal, ancient Yemeni issue dated 354–340 BC, weighing 5.08 g. One face shows Greek influence, with an owl motif and a combination of two letters; the other side shows a human face, with a pammelsand nose on the cheek."
0-آثارنا المنهوبة_10_p073_d8fc1a04;"Coin, metal, with obverse showing the head of Athena facing right, wearing a crested helmet and circular earring; the eye is shown in profile.";Coin, metal, with obverse depicting the head of Athena facing right. She wears a crested helmet and a circular earring, and the eye is rendered in profile. No further details are provided in the source text.;"Coin, metal. Ancient Yemeni coin dated 354–340 BC, showing Greek influence. One face depicts an owl and a combination of two letters; the other face shows a human face with a pammelsand nose on the cheek."
0-آثارنا المنهوبة_10_p074_c161f5cf;Oil lamp, stone, carved in the shape of a star, with wrought iron grip ring. Yemen.;Oil lamp, stone, carved in the shape of a star, with a wrought iron grip ring. The object is described as originating from Yemen. Dimensions given: 18 cm and 12 cm.;Star-shaped stone objects, two crystals of pyrotechnic stone, each mediated by a high-altitude bump with an iron ring for suspension. Islamic period, Qatar. Dimensions: 18 cm and 12 cm.
0-آثارنا المنهوبة_10_p076_234f216d;"Basin, brass, Yemen, 14th/15th century. Rounded form with tapering sides, decorated with an engraved band of inscription-filled cartouches overlaid with rosettes, roundels containing flowerheads and foliate interlace, and lozenge motifs in the interstices; the well has a rosette. Diameter 27 cm.";Basin, brass, Yemen, 14th/15th century. The vessel is of rounded form with tapering sides and is decorated on the body with an engraved band containing inscription-filled cartouches overlaid with rosettes. These are interspersed by roundels containing flowerheads and foliate interlace, while the interstices are filled with lozenge motifs. The well is decorated with a rosette. The basin measures 27 cm in diameter.;Vase, copper. Bowl with a wide nozzle and a condensed base, with the outer body decorated with a book-tape motif and vegetal ornament. Dated to the 14th–15th century, Qatar. Height 27 cm. Very good condition.
0-آثارنا المنهوبة_10_p078_f2f3e7cb;Dirhem, silver, Islamic, Yemen, Rasulid Dynasty, al-Muzaffar Yusuf, struck at 'Adan, AH 650 (1252 AD), 1.82 g.;Dirhem, silver, Islamic coin from Yemen, issued under the Rasulid Dynasty during the reign of al-Muzaffar Yusuf (1249–1295). The coin was struck at 'Adan and dated AH 650 (1252 AD). Recorded weight: 1.82 g.;"Coin, metal, possibly silver, Islamic Yemeni currency with Arabic inscription in a surrounding written framework; the inscription reads “Sultan Muzaffar bin Yousif bin Al-Mama'b.” Dated 650 H (1252 CE). Weight 1.82 g. Condition noted as good."
0-آثارنا المنهوبة_10_p079_c497918f;Dirhem, silver, Islamic, Yemen, Rasulid Dynasty, al-Muzaffar Yusuf, 1249–1295, mint of Adan, 1.91 g.;Dirhem, silver, Islamic, Yemen, Rasulid Dynasty, issued under al-Muzaffar Yusuf (1249–1295), minted at Adan, weighing 1.91 g. The object is identified as an Islamic dirhem from Yemen and the source text provides the ruler, dynasty, mint, and weight.;"Coin, metal, possibly silver, Islamic Yemeni currency with an Arabic inscription in a surrounding framework; the text includes “The God of Hila Muhammad ... [The Messenger of Hila].” Dated to the Apostolic period, 1249–1295, weight 1.91 g."
0-آثارنا المنهوبة_10_p080_6756332a;Box, wood, cylindrical, with flat base and slightly sloping sides, 14th century, Egypt or Yemen. The exterior is overlaid with black, red, yellow, and green lacquers and carved through to form a polychrome decorative design with scrolling arabesques, quatrefoil roundels, lobed rectangular panels, and stylized thuluth calligraphy.;Box, wood, cylindrical, with flat base and slightly sloping sides and a slight recess at the upper edge to receive a lid, 14th century, Egypt or Yemen. The exterior wooden surface is overlaid in successive layers of black, red, yellow, and green lacquer and carved through to reveal a polychrome decoration. The broad central band is composed of lobed rectangular panels containing scrolling arabesques around quatrefoil roundels, with panel borders that entwine and continue into lobed concentric quatrefoils dividing each panel. Below is a band of stylized thuluth calligraphy interrupted by roundels containing quatrefoil panels. The base and interior are plain, with remains of monochrome lacquer. The object measures 16.2 cm in diameter.;"Cylinder box, wood, cylindrical in shape, with cover, decorated with plant and geometric decorative elements executed in prominent carved relief. 14th century. Height 16.2 cm; diameter 20.3 cm. Very good condition."
0-آثارنا المنهوبة_10_p081_235de0d7;Coin, silver dirham. Rasulid, al-Mu’ayyad Da’ud (696-721h), struck at Dufar in 721h. Lightly toned, with obverse in good very fine condition and reverse from a crude cut die, but very fine.;"Coin, silver dirham. Rasulid issue of al-Mu’ayyad Da’ud (696-721h), struck at Dufar in 721h. The coin is lightly toned; the obverse is described as good very fine, while the reverse is from a crude cut die but remains very fine. Dufar was the easternmost Rasulid mint, established in the old port town that is now the centre of the modern Omani city of Salalah. The piece is noted as extremely rare.";"Coin, metal, possibly silver, Muslim Yemeni, with an Arabic inscription arranged within a four-tier framework; one face bears a legible inscription beginning “In the name of Allah al-Rahman al-Rahim...” and referring to Muhammad as رسول, while the other face is unclear. Dated to 696–721 AH. Weight 1.32 g."
0-آثارنا المنهوبة_10_p082_6e058211;Coin, metal, attributed to the Rasulid period (Yemen), under Al-Mudhaffar Samsaddin Yusuf. Album 1102, XF 4495.;Coin, metal, attributed to the Rasulid period in Yemen, under Al-Mudhaffar Samsaddin Yusuf. The source text identifies it as Album 1102, XF 4495. No further technical, typological, dimensional, or chronological details are provided in the source.;Coin, metal, possibly silver. Muslim Yemeni coin surrounded by an Arabic written frame with unclear inscription. Apostolic State.
0-آثارنا المنهوبة_10_p083_ac6e1897;Coin, gold. Rasulid gold dinar of al-Mu’ayyad Da’ud (696–721 AH), struck at ‘Adan in 718 AH.;Coin, gold. Rasulid gold dinar of al-Mu’ayyad Da’ud (696–721 AH), struck at ‘Adan in 718 AH. The source notes that, unlike the latter, the Rasulids included both the mint name and date in their legends. These gold issues may have been issued to facilitate trade with India.;"Coin, gold, a Muslim Yemeni two-faced coin dated 718 H, weighing 4.34 g. One face is surrounded by a four-tier Arabic inscription band and has a square frame containing an Arabic inscription reading “There is no god but God, Muhammad is the messenger of God”; the other face bears an Arabic inscription reading “Sultan King in Support [...] David.” The object is described as in excellent condition."
0-آثارنا المنهوبة_10_p095_f45e4544;"Plaque, bronze. South Arabian bronze votive plaque, framed with a raised flat border and inscribed with seven lines of Qatabanian script mentioning a dedication of bronze. Circa 1st-2nd century B.C.; 14¼ in x 11 in (36 cm x 28 cm).";Plaque, bronze. South Arabian bronze votive plaque, framed with a raised flat border and inscribed with seven lines of Qatabanian script. The inscription mentions a dedication of bronze and refers to the plaque itself. The object is dated to circa 1st-2nd century B.C. Dimensions are 14¼ in x 11 in (36 cm x 28 cm).;"Plaque, bronze, engraved with seven lines of text on the surface; rectangular form, measuring 14 × 11 in. (36 × 28 cm); dated to the 1st–2nd century BC."
0-آثارنا المنهوبة_16_p003_a478c1a3;Furniture, paintings, coins, currency, stamps, home décor, fashion, Chinese antiques, photography, watches, rings, oil paintings, toys, dolls, games, clocks, Japanese antiques, rugs and carpets, prints and multiples, and other auction categories are listed, along with multiple upcoming and live sales.;Furniture, paintings, coins, currency, stamps, home décor, fashion, Chinese antiques, photography, watches, rings, oil paintings, toys, dolls, games, clocks, Japanese antiques, rugs and carpets, prints and multiples, and related categories are listed in an auction marketplace overview. The text also includes references to spring finds, early 20th century design, California and Western art, fine jewelry, European furniture, trending items, and multiple auction listings with dates, locations, and sale titles. No single object is described in detail beyond these category and auction references.;"Head, marble, of a statue of a man, carved in a clear-cut style with two eyes, two eyebrows, and a mouth; dated to the 1st century B.C./1st century A.D. according to the source. The object is described as in good condition. Source attribution in the text mentions Hansokrams (1912–1992), Düsseldorf, Germany."
0-آثارنا المنهوبة_16_p010_1a66044c;Auction platform, not an archaeological object.;"Auction platform, not an archaeological object. The source text refers to ""BidsSpirit Israel - Auctions: jewelry, art, antiquities and more,"" which is commercial and does not provide a describable object, material, typology, dimensions, or period.";Statue, bronze, in the form of a camel. The figure is described as surrounding the top of the neck of a rope, with a tranquil inscription along the blade line that is unclear, and the body covered with a full layer of effort. Height 7.5 cm.
0-آثارنا المنهوبة_16_p012_54866ff3;Jewelry, art, and antiquities auction listing.;Auction listing for jewelry, art, antiquities, and other objects. No specific object, material, typology, dimensions, or period is provided in the source text.;"Statue, bronze, depicting a standing figure with one arm extended forward and the other extended to the side, mounted on a base; the body is covered by a rust layer that obscures details, including an unclear graft line. Dated to 4.2 BC. Height 11.5 cm."
0-آثارنا المنهوبة_5_p001_6d116178;Statuette votive en bronze représentant un dignitaire debout, vêtu d'un long pagne et tenant une longue canne de la main gauche. La coiffure est formée de courtes mèches. H. 13,5 cm.;Statuette votive en bronze représentant un dignitaire debout, de type sud-arabique, vêtu d'un long pagne et tenant une longue canne de la main gauche. La coiffure est formée de courtes mèches. L'objet mesure 13,5 cm de hauteur.;Statue, bronze, of a standing man in motion, with a clear face, muzzle, hair, wrinkle, and sailor attributes as described in the source text. The object is recorded as missing. It is dated to the second century BCE and attributed to the southern Arabian Peninsula (old Yemen). Dimensions: 13.5 cm long.
0-آثارنا المنهوبة_5_p001_9cc546a5;Stela, alabaster. Fragment of a South Arabian sculpted stela with a stylized frontal face, a long straight nose, and hollow eyes originally inlaid. A fragment of a South Arabian inscription is preserved at the base.;Stela, alabaster. Fragment of a sculpted stela depicting a stylized frontal face with a long straight nose and hollow eyes originally intended for inlay. The base preserves part of a South Arabian inscription, identified in the source as the owner's name. South Arabian Peninsula, late 1st millennium BC. Height: 27.5 cm.;"Tombstone, marble, fragmentary, with incised inscription and relief decoration; described as a man’s tombstone, preserving part of the deceased’s name with the letter “N” visible in the final line, and featuring a human face motif with prominent eyes, a small mouth, and a strand or line beneath the mouth. Provenance is given as the southern Arabian Peninsula (old Yemen). Length 27.5 cm."
0-آثارنا المنهوبة_5_p002_883e543c;"Iconic head, material not specified. Small sculpted head representing a man with short hair, a triangular face, a long narrow nose, and a short mouth; a lightly raised beard collar extends up to the ears. Height: 12.5 cm.";Iconic head, material not specified. This small-scale head was generally mounted on inscribed limestone bases bearing the owner's name. The present example represents a man with short hair exposing the ears. The face is triangular in shape, with a long, slender nose above a short mouth, and a beard collar in slight relief rising to the ears. Height: 12.5 cm.;"Statue head, marble: head of a male statue with a long neck, carved in marble; the face has high eyebrows, prominent eyes, a prominent nose, and a small mouth, with hair rendered in a clear, salty tombstone-like treatment."
0-آثارنا المنهوبة_5_p003_5f667732;Stela, South Arabian alabaster and limestone, H. 22 cm. Iconic stela representing a face shown frontally, with a triangular nose above a narrow mouth.;Stela, South Arabian alabaster and limestone, height 22 cm. Iconic stela depicting a face in frontal view. The facial features are rendered schematically, with a triangular nose surmounting a narrow mouth. The source text identifies the object as a South Arabian stela made of alabaster and limestone and gives its height as 22 cm.;"Grave marker head, polished marble, in the form of a man’s head with a short neck, defined head, indicated hair, eyebrows, a prominent nose, and closed mouth, decorated with two lizards and two rosettes; from the Horn of the Arabian Peninsula (old Yemen); length 22 cm."
0-آثارنا المنهوبة_5_p003_0a6629b7;Figurine, bronze, depicting two lizards side by side in aerial view. South Arabian Peninsula, 1st millennium BC. Length 6.2 cm.;Figurine, bronze, depicting two lizards side by side in aerial view. The object is described as South Arabian and dated to the 1st millennium BC. It measures 6.2 cm in length. The source text identifies the subject as two lizards shown côte à côte, with the figure presented in plan view.;Statue, bronze, depicting two adjoining lizards connected at the tail and shown in motion. The object is almost 10 cm in diameter.
0-آثارنا المنهوبة_5_p004_a120f029;Stela, South Arabian alabaster, H. 28 cm, L. 23.2 cm. Historiated funerary stela depicting a man and a woman, with a three-line inscription at the top.;"Stela, South Arabian alabaster, H. 28 cm, L. 23.2 cm. Historiated funerary stela depicting a man and a woman. The upper part bears a three-line inscription, identified in the source as beginning with the words ""Stèle sépulcrale et monument de Ratum"". The object is described as South Arabian and made of alabaster.";Palette, stone, with incised and carved decoration, 28 cm high and 23 cm wide, from the southern Arabian Peninsula (old Yemen), dated to the 2nd century AD. The object is described as a palette with drawings, showing sculptural decoration and a three-line inscription on the anthem line reading NFS, NBYR, BAT, BA, B.
0-آثارنا المنهوبة_5_p004_b5ff189c;"Head of a statue, alabaster, South Arabian, H. 14 cm. Male head with the bridge of the nose continuing into the eyebrows; the pupils are engraved. The beard and moustache are indicated by stippling, and the coiffure, probably in stucco, was added separately.";Head of a statue, alabaster, South Arabian, height 14 cm. The object is a male head from a statue, with the bridge of the nose continuing into the eyebrows and the pupils of the eyes engraved. The beard and moustache are rendered by stippling. The coiffure, probably made of stucco, was applied separately. The description identifies the piece as a South Arabian alabaster head of a man.;"Statue head, stone, of a male figure with a clearly modeled face and distinct eyes; carved in stone, from the southern Arabian Peninsula (ancient Yemen), dated to the 3rd century B.C.E., and measuring almost 20 cm in height."
0-آثارنا المنهوبة_5_p005_882c4e9e;"Stela, alabaster. South Arabian aniconic stela of slightly trapezoidal form, rounded at the top, with a rectangular plinth engraved with the owner's name. H. 41.5 cm; W. 24 cm.";Stela, alabaster. South Arabian aniconic stela of slightly trapezoidal form, rounded at the top, with a rectangular plinth engraved with the owner's name. The object measures 41.5 cm in height and 24 cm in width. According to the source text, such stelae were placed in a niche or against a wall.;Plaque, marble. Rectangular polished marble plaque with a base of the same stone, bearing five letters: “A click and HBL” and the inscription “Horn A and Miledi - Southern Arabian Peninsula (old Yemen).” Height 36 cm.
0-آثارنا المنهوبة_5_p006_818e1ef4;Figure iconique, material not specified, cylindrical form with a sculpted stylized face at the top and a mouth marked by an incision.;Figure iconique, material not specified, of cylindrical form, with the upper part sculpted as a stylized face. The mouth is indicated by an incision. The source text notes that such figurines were generally fixed onto inscribed bases.;"Tombstone, marble, cylindrical in shape, with a clear-cut surface, two perforations, and a small incised mouth; described as having a distinctive character in the making of gravestones. Origin: southern Arabian Peninsula (old Yemen). Height 18 cm. Missing."
0-آثارنا المنهوبة_5_p006_95a38b81;Statuette, limestone, depicting an ibex on a quadrangular base, with very developed horns. South Arabian.;Statuette, limestone, depicting an ibex standing on a quadrangular base, with very developed horns. The object is described as South Arabian and measures H. 32.5 cm. A comparative bibliography is cited: Queen of Sheba, exhibition catalogue, London, 2002.;"Animal statue, stone. Statue of an animal on a rectangular base of the same material, with large horns visible; described as a “glimpse of big horns wrapped up.” Stone, 32.5 cm high. Dated to the 5th century B.C.E. and attributed to the southern Arabian Peninsula (old Yemen)."
0-آثارنا المنهوبة_5_p007_764a5e88;Oil lamp, bronze, with edges decorated with ivy scrolls and the rear bearing a South Arabian inscription of three letters.;"Oil lamp, bronze, with a large form and edges ornamented with ivy scrolls. The rear is decorated with a South Arabian inscription consisting of three letters. The object is described as a large oil lamp; no further technical details, dimensions, or chronology are provided in the source text.";"Object, bronze. Curved handle ending in an animal body with large horns curved backwards; two hands placed in front of a lumbar area bearing a three-letter inscription. Sacrificed. Dated to the 4th century B.C.E."
0-آثارنا المنهوبة_5_p007_712e95bc;Stela, South Arabian limestone, H. 45.5 cm, L. 18.2 cm. Rectangular stela with a stylised triangular face at the top and an inscription of three South Arabian letters identifying the owner. South Arabian Peninsula, late 1st millennium BC.;Stela, South Arabian limestone, H. 45.5 cm, L. 18.2 cm. Rectangular stela carved with a stylised triangular face at the top. It is engraved with an inscription in three South Arabian letters, identified in the source as the name of the owner. The object is described as an iconic stela and is attributed to the South Arabian Peninsula, late 1st millennium BC.;"Tombstone, stone. Rectangular tombstone carved in low relief with a clear-cut discharge, featuring eyes, a prominent nose, and a semi-open mouth; inscribed with three letters reading p.P.R. Late 2000 BCE. Length 45.5 cm."
0-آثارنا المنهوبة_5_p008_3ad06fef;Stela, alabaster. South Arabian rectangular icon stela with a stylised frontal face carved at the top. The face has a long, thin, triangular nose flanked by engraved eyes with indicated pupils.;Stela, alabaster. South Arabian rectangular icon stela, sculpted at the top with a stylised frontal face. The facial features are rendered in a simplified manner, with a long, thin, triangular nose flanked by engraved eyes and indicated pupils. The object is described as a rectangular stela carved at the summit with a stylised face seen from the front. Comparative bibliography cited in the source: Yémen, au pays de la reine de Saba, exhibition catalogue, Paris, 1997.;Tombstone, marble. Rectangular tombstone carved from a marble stone, from the Horn of the Arabian Peninsula (old Yemen). Length 38.2 cm.
0-آثارنا المنهوبة_5_p009_e7a20612;Sword (saif) and scabbard, silver-plated steel and silver-plated metal, Yemen, 19th century. Single-edged triple-fullered curved steel blade with a silver-plated hilt and engraved decoration, accompanied by a silver-plated scabbard with engraved vegetal motifs.;Sword (saif) and scabbard, silver-plated steel and silver-plated metal, Yemen, 19th century. The sword measures 80 cm and has a single-edged, triple-fullered curved steel blade set with a silver-plated hilt decorated with engraved floral scrolls. The silver-plated scabbard is decorated with engraved vegetal motifs. The object is described as being in overall good condition, with minor patination to the blade, minor oxidation, minor dents, and the knuckle chain missing.;Sword, polished metal and silver, with a blade of polished metal and a silver hilt or head decorated with silver filaments.
0-آثارنا المنهوبة_5_p009_16162ad0;Brazier, brass, second half 13th century. Probably made in Egypt. The object is associated with Rasulid Sultan al-Malik al-Muzaffar Shams al-Din Yusuf ibn 'Umar and bears a monumental inscription naming the patron.;Brazier, brass, second half 13th century. Probably made in Egypt. This portable brazier was used as a grill and heater. It has lion-headed knobs with rings that served as receptacles for handles to transport the heated unit, and confronted dragon heads on each side that functioned as spit brackets. The monumental inscription names and honors the patron, identified as the second ruler of the Rasulid dynasty, al-Malik al-Muzaffar Shams al-Din Yusuf ibn 'Umar (r. 1250–95). His dynastic emblem, a five-petalled rosette on a circular shield, appears prominently on both sides of each corner bracket.;"Metal artifact, metal, rectangular conglomerate on four legs, with edges decorated with geometric shapes; the sides are covered with a walrus-enveloped decorator and a restaurant with prominent animal head feces, and the inter-lettered emptiness includes various plant decorative elements."
31-آثارنا المنهوبة_31_p002_86aafcec;Double statuette, material not specified.;Double statuette, material not specified. The catalogue entry identifies the object as a double statuette and provides no further technical description, dimensions, chronology, or provenance in the source text. The lot was offered in an archaeological sale and is recorded with an estimate of 3000–3500 EUR and a result of 5,800 EUR.;Human statue, limestone, depicting two interconnected human figures in a similar salt-like material. The figures have prominent eyes and noses, heads joined by a small cylindrical bridge, and short hands held against the chest.
31-آثارنا المنهوبة_31_p003_29c5ae2a;"No object description is provided in the source text; it contains only auction notices and general statements about condition reports and dimensions.";No archaeological object is described in the source text. The text consists of auction information and general notices concerning the condition of lots, possible damages or restorations, and the non-guaranteed nature of dimensions given in catalogue descriptions or condition reports. No object type, material, technique, typology, dimensions, or period is specified.;Human statue, sandstone, a woman’s bust with a visible head, large eyes inlaid with gypsum and cream stones, high eyebrows with stone inserts, a high sharp nose, full lips, hair arranged in lines and falling behind the neck, and two distinct ears.
31-آثارنا المنهوبة_31_p004_c8d52ea6;Figure of a woman, alabaster, Qataban, 3rd century B.C./1st century A.D. South Arabian sculpture carved from translucent calcite-alabaster, with a frontal pose, simplified bodily forms, and recessed eyes.;Figure of a woman, alabaster, Qataban, 3rd century B.C./1st century A.D. South Arabian sculpture carved from translucent calcite-alabaster. The figure is described as displaying the stylized aesthetic characteristic of South Arabian figurative art, with a frontal pose, simplified bodily forms, and an emphasis on facial presence and symmetry. The recessed eyes are noted as extant, and the text states that such figures may originally have featured painted details or inlaid facial detailing. The object is identified as a South Arabian alabaster figure of a woman from Qataban.;Statue, marble, human figure represented as a woman’s bust with jealous eyes retaining traces of black fixing material, a straight nose, a small mouth, and curly hair falling behind the shoulders.
31-آثارنا المنهوبة_31_p006_56cb6e06;Statuette of woman, H. 19 cm.;Statuette of woman, height 19 cm. The source text provides no further information on material, technique, typology, date, or condition beyond the object designation and stated height.;Human statue, material not specified. A human statue described in the source as “A human statue.”
31-آثارنا المنهوبة_31_p007_518f511e;Statuette, material not specified, representing a woman, possibly pregnant, wearing a long tunic and extending her arms forward. Her hairstyle is encircled by a diadem and she wears a necklace with a pendant. Height: 13.2 cm.;Statuette, material not specified, representing a woman, possibly pregnant, wearing a long tunic and extending her arms forward. The hairstyle is encircled by a diadem, and the figure wears a necklace with a pendant. The object is described as a statuette and measures 13.2 cm in height.;Human statue, bronze, depicting a standing woman with a pronounced pregnant abdomen. The head is upright, with a gang and a clearly defined ellipse wrapped backwards and hanging behind the shoulders. The arms are extended outward and the hands are open. The garment covers the body to mid-thigh. The legs are clearly modelled, with distinct toes. Height: 13.2 cm. Date: toward the 2nd century BC.
31-آثارنا المنهوبة_31_p008_d07d17df;Statuette votive plate in an unspecified material, representing a stylised man.;Statuette votive plate in an unspecified material, representing a stylised man. The object is described as a votive plate statuette and belongs to the field of archaeology. No further technical details, dimensions, or dating are provided in the source text.;"Human statue, bronze, small flat-shaped figure representing a man in an abstract manner, standing in a long dress with both arms extended forward and holding a stick in the right hand; the figure is connected below to a small stabilization base. First millennium BC. Height: 13.7 cm."
31-آثارنا المنهوبة_31_p009_5d598bbd;Four votive statuettes, material not specified, representing stylised figures, one seated and headless. South Arabian Peninsula, 1st millennium BC. Height: 2.2 to 4.2 cm.;Four votive statuettes, material not specified, representing stylised human figures, including one seated acéphale. The group is attributed to the South Arabian Peninsula and dated to the 1st millennium BC. The recorded height ranges from 2.2 cm to 4.2 cm. No further technical or contextual details are provided in the source text.;"Statuettes, bronze, four votive figurines representing human figures in an abstract manner, with unclear features; three are standing with outstretched, separate arms, and one is seated with the head missing; all are covered with a green layer of bronze corrosion. First millennium BC. Height: 2.2 to 4.2 cm."
31-آثارنا المنهوبة_31_p010_26086da7;Fragment of a large statue, bronze, representing the torso of a cuirassed man. H. 21 cm.;Fragment of a large statue, bronze, representing the torso of a cuirassed man. The object preserves the upper part of the body and is described as a fragment of a large-scale statue. Height: 21 cm.;Human statue fragment, bronze, preserving part of a hollow bronze figure: the left torso and shoulder, with a shield and a belt crossing the shoulders and extending to the back. First and second century C.E. Height: 21 cm.
31-آثارنا المنهوبة_31_p011_4c06705e;Sculptural fragment, stone, main right hand from a life-size statue, with the fingers slightly bent. Height 13 cm.;Sculptural fragment, stone, main right hand from a life-size statue, with the fingers slightly bent. The object is described as a right hand originating from a life-size statue, preserving the fingers in a slightly flexed position. The recorded height is 13 cm.;Statue, bronze: human statue preserving the bronze palm of the right hand, rendered at natural size with long fingers and covered with a green layer of bronze corrosion. Length: 13 cm.
31-آثارنا المنهوبة_31_p012_36e90747;Stèle iconique en pierre de type Myriam, with ears treated geometrically, incised eyebrows, and oval eyes inlaid with calcite.;Stèle iconique en pierre de type Myriam. The ears are applied and treated in a geometric manner, the eyebrows are incised, and the eyes are oval and inlaid with calcite. The source text provides no further information on dimensions, date, provenance, or technique beyond the described carved and inlaid features.;Statue, material not specified. Human statue depicting a woman, with a clearly rendered head and well-executed features. The eyes are oval, the eyebrows are arched and raised, the nose is prominent and sharp with a rounded end, and the mouth is represented by a curved line.
