0-آثارنا المنهوبة_25_p074_35a83904;جيدة جدا;;https://www.lot-art.com/auction-lots/Beautiful-South-Arabian-Alabaster-Tripod-Offering-Table/70c-beautiful_south-10.11.22-artemiinfo@goam.gov.ye;Crabs table.;A three-legged round-shaped table with a cylindrical rooftop on its side with prominent vertical lines.;A marble stone.;About the third century before the miles into the first of the miles.;Weight 4.93 g, 15 mm;LOT - ART;Very good.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p075_ed367d40;حوالي القرن الثاني الميلادي;الارتفاع 10.5 سم، والعرض 7,5 سم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/STLE-ICONIQUE-PNINSULE-SUD-ARABIQUE-CA-IIeSICLE-AV-J-C-IIeSICLE-AP/1-stle_iconique-10.10.18-tajan;The head of a human statue.;The head of a man's statue, of the marble stone, with clear facial glimpses, the eyes are closed, the nose is long and the berries, the bottom of which is a small mouth embedded in a straight horizontal line, and it has a short neck.;A marble stone.;Around the 2nd century A.D.;The height is 10.5 centimeters, and the width is 7.5 centimeters.;LOT - ART;Very good.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p076_f2310d70;حوالي القرن الثاني قبل الميالد- القرن الثاني الميالدي;7 بوصات ارتفاع; 5.5 بوصات عرض;liveauctioneers;جيدة;;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online;The head of a human statue.;A statue of a man, from the stone of the marble, with a big, long nose, two blind eyes with two curved eyebrows, a mouth with two distinct lips, a broad chin, and two ears that emerge from both sides.;A marble stone.;About the second century before the miles... the second century before the miles...;7 inches high, 5.5 inches wide.;liveauctioneers;Good.;;;;;;;;;;;
0-آثارنا المنهوبة_25_p077_5321dc89; 15 مم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/VASE-MINIATURE/296-vase_miniature-17.7.22-monte;Annie.;A conical-shaped stone vessel of marble stone, with a high crater with a smaller diameter than the diameter of its base, without cover, with two knobs in the middle of its body, showing white-coloured lines (sticks) of the same stone.;A marble stone.;About the third century before the miles.;Weight 4.93 g, 15 mm;LOT - ART;Very good.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p078_96776234;LOT - ART;جيدة;ست قطع;https://www.lot-art.com/auction-lots/A-LOT-OF-SIX-SILVER-OBOLS-AND-FRACTIONS-4th-3rd-CENTURY-BCE/42-six_silver-12.10.22-archaeological;Old Yemeni coins.;Old Yemeni coins, one face of which is an image of the owl bird, and some with Latin letters, and the other face is likely to contain an expression of a human face.;Silver.;Around the fourth and third centuries before the miles.;Weight 4.93 g, 15 mm;LOT - ART;Good.;Six pieces.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p079_49144713; الأنف عريض وطويل وبه كسر; والعينان لوزيتان بخطوط محزوزة; والفم بارز; وتبرز الأذنان على جانبي الرأس.;حجر مرمر;;;LOT - ART;جيدة;قطعتان .;https://www.lot-art.com/auction-lots/South-Arabian--Two-carved-heads-Provenance-Private-Collection/92-south_arabian-03.6.24-sloane;My head is human statues.;My head are men's statues, from the marble stone, one with a long neck and clear facial profile: the nose is pointed, the eyes of Luzitan with encircled lines mediated by the pupils, with eyebrows, the mouth with a big smile, and the ears on both sides of the head.;A marble stone.;;;LOT - ART;Good.;Two pieces.;;;;;;
0-آثارنا المنهوبة_25_p080_bee8a24e;LOT - ART;جيدة;خمس قطع;https://www.lot-art.com/auction-lots/South-Arabian--A-group-of-five-alabaster-fragments-/322-south_arabian-12.6.24-sloane;The heads of human statues.;The heads of human statues, of marble stone, of different shapes and sizes, one of which is smashed and freckled, with a hint, plus the torso of a statue.;A marble stone.;;;LOT - ART;Good.;Five pieces.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p081_07788e5d;18 × 13 سم;bidsquare;سيئة;"نقش برونزي؛ النص منقوش بخط المسند البارز"; مع صدأ.;https://www.bidsquare.com/online-auctions/deutsch/a-sabean-bronze-plaque-934469;A bronze engraving.;The next inscription is from the public confession engravings studied by Ibrahim Al-Silwi 3 (Salawi 3), on a picture shown to him by the late Khalil Al-Zubairi. The text was presented without a photo in the Daci blog under the symbol al-silwi 3. The inscription is made of bronze, surrounded by a frame, and the inscription is rusty, written in the prominent al-Silwi 3.;Bronze.;About the first century B.C.;18 x 13 cm;bidsquare;Bad.;The bronze engraving;;;;;;;;;;;
0-آثارنا المنهوبة_25_p082_810269e6; 2.40 جم;LOT - ART;جيدة جداً;;https://www.lot-art.com/auction-lots/South-Arabia-Saba-AR-Unit/3014-south_arabia-08.3.25-timeline;A Muslim Yemeni coin.;A Muslim Yemeni coin (Dinar Goldi), dating back to the reign of the right state, was caught in Zebed, and dated back to the reign of the king of Ali Bin Mohammed Al-Salehi, on which the line of Semi-Koffi was written.;Gold.;439 - 473 e;20 mm, 2.40 g;LOT - ART;Very good.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p083_06963053; القطر 18.00 مم;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/Yemen-Sulayhid-Dynasty-Arwa-bint-Ahmad-12-Dinar-Dhu-Jibla-Mint-blundered-date-struck-between-1091-and-1137-AD/88573781-yemen_sulayhid-25.9.24-catawiki;A Muslim Yemeni coin.;A Muslim Yemeni coin, Denar Goldi, dating back to the reign of the good state, was caught in Jabala, and dated back to the reign of Al-Sal, the daughter of Ahmed Al-Salehi, was marked with a semi-Koffi line.;Gold.;532 - 484 e/ 1091 - 1137 m;Weight 1.09 g, diameter 18.00 mm;LOT - ART;Very good.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p084_712079d1; ممثلة بصف من النقاط الصغيرة والمتراصة.;حجر مرمر;حوالي القرن الأول قبل الميالد إلى القرن الأول الميالدي;( ارتفاع14.2 × سم23.8 )سم;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/Fine-South-Arabian-Alabaster-Head-of-Bearded-Male/77f-fine_south-09.5.19-artemi;The head of a human statue.;The head of a man's statue, of the stone of the marble, of a long neck, of clear facial features, of the nose, of the long and prominent, of the eyes of Lozitan, of the eyebrows, of the high and square, of the mouth of the moustache, and of the beard below it, is represented by a row of small points and wedges.;A marble stone.;About the first century before the miles to the first century.;(high 14.2 x cm 23.8);LOT - ART;Good.;;;;;;;;;;
0-آثارنا المنهوبة_25_p085_f13f7dbe; 11 بوصة ارتفاعًا (14.6 × 27.9 سم);bidsquare;جيدة;أربع قطع;https://www.bidsquare.com/online-auctions/artemis-gallery/set-of-4-sabean-bronze-bull-hoof-supports-2251316;Hooves.;A bunch of identical bull hooves of bronze are larger than normal size, each of which is superior to a large cube, and two of which have prominent holes above the cube for installation, three of which are hollow from the inside, with holes in the back of the cubes and on the foot base.;Bronze.;About the Alveys before the Miles to the First Alveys, the Miles.;The size of each is relatively similar 5.75 inches wide, 11 inches high (14.6 x 27.9 cm);bidsquare;Good.;Four pieces.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p086_d1991843;LOT - ART;ممتازة;خمس قطع;https://www.lot-art.com/auction-lots/South-Arabian-A-Group-of-five-alabaster-figures-To/297-south_arabian-12.6.24-sloane;Human statues.;A bunch of human statues, from the marble stone, are often similar in design and in movements and sizes, except for the statue in the middle, as it appears to be large, as it is the largest and only one with a pigeon in its hand, and at the bottom there is an inscription with a single line of the phalange line as follows: [A/T/R/R].;A marble stone.;;They range from 10 x inches (altitude) 5.5 x inches (presentation) 3 x inches (deep) to 7.25 x inches (high) 3.25 x inches (presentation) 1.5 x inches (deep);LOT - ART;Excellent.;Five pieces.;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p087_a80eaa61;تتراوح من 7 بوصات (ارتفاع) × 4 بوصات (عرض) × 2.5 بوصة (عمق) إلى 2.5 بوصة (ارتفاع) × 3 بوصات (عرض) × 0.5 بوصة (عمق);LOT - ART;ممتازة;ست قطع;http://lot-art.com/auction-lots/South-Arabian-A-group-of-six-stone-elements-including/323-south_arabian-12.6.24-sloane;Human statues.;A bunch of human statues, from the marble stone, including two statues sitting and one standing under it writing in the blade line, a bust, and a little horse on it also writing in the bolt line, as well as a mural with an ox's head on it.;A marble stone.;;They range from 7 inches (high) x 4 inches (wide) x 2.5 inches (deep) to 2.5 inches (high) x 3 inches (present) x 0.5 inches (deep);LOT - ART;Excellent.;Six pieces.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p088_83fc102a;ثالث قطع;https://www.the-saleroom.com/en-gb/auction-catalogues/sloanestreet/catalogue-id-sloane10020/lot-ed674a9d-b40b-42ee-bb49-b19300ff8a50;Two human statues and a face.;Two human statues of marble stone, sitting position, plus an empty-eyed human mask, mouth and allen.;A marble stone.;;;the-saleroom;Good.;Third cut.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p089_96db7973;حوالي أواخر الألفية الأولى قبل الميالد;9.7 سم × 8.6 سم;liveauctioneers;جيدة;;https://www.liveauctioneers.com/search/?keyword=South%20Arabian&sort=-relevance&status=online;A statue.;A statue of a fabulous animal, with a lion's body and feet, a human head, a high wing up, a very short tail, raising his right hand up, and standing on a bronze stick pierced from the same statue.;Bronze.;About the end of the first millennium before the miles.;9.7 cm x 8.6 cm;liveauctioneers;Good.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p090_98c5db64;liveauctioneers;جيدة;;https://www.liveauctioneers.com/price-result/ancient-south-arabian-bronze-camel-c6th-century-bc/;An animal statue.;A statue of the camel animal, of the bronze, with a high head and two high ears, with his back in a sleeve, with his tail sticking to the back of his legs.;Bronze.;About the sixth century before the miles.;;liveauctioneers;Good.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p091_798e2234;https://www.liveauctioneers.com/price-result/south-arabian-alabaster-fragment-w-inscription-c200-ad/;A mural and a pad engraving.;A mural showing a carving of a human chest with the appearance of his arms, in addition to a stone inscription with a single line blade: [...] / cKr/ [...] b;A marble stone.;About the second century of miles.;;liveauctioneers;Good.;Two pieces.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p092_aac8e3f9; العينان غائرتان وكما يبدو أنهما كانتا مطعمتان; أما الشعر فهو باللون الأسود; وكما يزين أذنيها أقراط معدنية.;حجر مرمر; برونز;حوالي القرنان الثالث والثاني قبل الميالد;االرتفاع 38.5 سم;phoenixancientart;ممتازة;;https://phoenixancientart.com/work-of-art/south-arabian-alabaster-statuette-of-a-queen/;A human statue.;The woman &apos;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p093_28b41208;االرتفاع35.50 سم;phoenixancientart;ممتازة;(النقش وحده بال تمثال منشور في مدونة داسيFB - Qataban).;https://phoenixancientart.com/work-of-art/south-arabian-alabaster-seated-figure-of-the-sun-goddess/;A human statue with a graffiti graffiti.;A woman's human bust, from the marble stone, stretches her hands forward, falls behind her ears with hair, eyes with two restaurants and a long nose, and bars, placed on a separate inscription with a three-line strand line as follows:;A marble stone.;About the third and second centuries before the miles.;It's 35.50 centimeters.;phoenixancientart;Excellent.;(Only engraved with a statue published in DaciFB - Qatar).;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p094_3329b4f9; القرن الأول الميالدي;االرتفاع 21 سم;phoenixancientart;جيدة;;https://phoenixancientart.com/work-of-art/south-arabian-alabaster-abstract-head/;A tombstone.;He saw a human tomb, from the marble stone, with a clear glimpse of a face, a long nose and a beaver connected to the eyebrows, two eyes pierced and closed, and a very small mouth.;A marble stone.;About the first century before the miles, the first century before the miles.;The height is 21 centimeters.;phoenixancientart;Good.;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p095_9ee6e6c7;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-ALABASTER-FUNERARY-STELE/396-south_arabian-05.11.23-apollo;A tombstone.;A human tomb of marblestone, with a clear glimpse of a broad, long, eyebrow-related rectangular nose, two visible eyes and mediated by the pupils, a small mouth and a wide chin, below which there is a two-line strand writing: 1-RBL-2 [grp];A marble stone.;About 200 before the miles. 200 miles before the miles.;length 190 mm/latitude 120 mm;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p096_ca1b4fa3;حجر مرمر;حوالي 200 قبل الميالد - 100 ميالدي;"الطول 70 مم / العرض 50 مم؛ الوزن 375 غرامًا";LOT – ART;جيدة جداً;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-ALABASTER-HEAD/394-south_arabian-05.11.23-apollo;The head of a human statue.;A statue of a man from the white marble stone, with highlights, with a small mouth, a relatively visible nose, eyes are also visible and mediated by pupils who are mostly lost, eyebrows are high, ears are high on both sides, and hair scalp appears lightly from the top of the head.;A marble stone.;About 200 before Miled-100 Miles.;70 mm/latitude 50 mm;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p097_d944cef5;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-ALABASTER-FACE-STELE/395-south_arabian-05.11.23-apollo;The face of a human statue.;The face of a human statue of the marble stone, with clear glimpses, the eyes are blind, long and well-connected, and the eyebrows are strikingly connected, and the openings of the Alnov, the mouth is small and the chin is wide.;Marblestone.;About 200 before Miled-100 Miles.;165 mm long / 115 mm wide;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p098_049174ca;حوالي القرن الثاني قبل الميالد;ارتفاعه 7 3/8 بوصة;LOT - ART;جيدة;;https://www.lot-art.com/auction-lots/Ancient-South-Arabian-SABAEAN-Alabaster-head-c2nd-century-BC/84-ancient_south-20.10.24-palmyra;The head of a human statue.;The head of a statue of a man from the marble stone, with a glimpse of a clear face, the eyes of Luzitan and the eyebrows are packed, and a long, broken nose, with the mouth lips shut, on both sides with ears, with a short neck.;A marble stone.;About the second century before the miles.;It's 7-3/8 inches high.;LOT - ART;Good.;;;;;;;;;;;;
0-آثارنا المنهوبة_7_p001_5960eb81;Half a man's statue.;A statue of a half-man like God, the Alonan Donus, clearly obliterated by the hair mass, the face with all its detail, the chest is highlighted by N: a straw with a two-line blade line, extracted from the Temple of Haran.;Bronze.;Hellenistic period - 1st century C.D.;1-85 centimeter height.;Christophe's House.;"Showed F.C. of ""Kristoff House.""";Inschrift-sabaeischer-mit-dionysos-des-buestierte-gallery.com/en/produkt/ Grosse-https://www.cb/;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_7_p002_6cd79c3e;A bust of a man.;A bust of a man standing full of salt, with no legs, missing from him, a left hand, a clear face, a hint of every detail, with a crown-like appearance on his head.;Bronze.;The middle of the M.I.A.;;Barkat House;He doesn't have legs. He's missing the left hand.;It's in Yemeni artifacts displayed in auctions.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_7_p003_ba0a0c53;A statue of a man standing on a base.;A statue of a man with a perfect face, a glimpse of the face, eyes of Luzitan and the nose, hands short, to the forehead, a short man, standing on a cubic-shaped base with an engraving line of one line reading:;Buster.;South Arabian Island, mid-1,000 BC (old Yemen);;London Queerted auction.;Taught in auctions.;An engraving in the line of the trigger is a one-line component.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_7_p004_d9ae2b59;23سم;سوذب- لندن;معروضة حاليا في مزاد;قطع أثرية يمنية معروضة في مزادات (آثارنا المنهوبة 7).;https://www.sothebys.com/en/buy/auction/2022/ancient-qataban-woman;The head of a man's statue.;The head of a statue of a visible tombstone, the eyes of two engraved blues, the nose, the mouth is small, the neck is tall, the head is crossed from behind.;Buster.;Third century before the Miled - Qotban;23 centimeters.;Soyb-London;Present at auction;Yemeni artifacts displayed in auctions (our looted effects 7).;;;;;;;;;;;;
0-آثارنا المنهوبة_7_p005_52354a90;معروضة حالٌا;;https://www.sothebys.com/en/buy/auction/2022/ancient-a/of-works-and-sculpture/a/of-head-alabaster-arabian-south-art/qataban-man;The head of a man's statue.;The head of a bust of pester to a clear-cut tombstone, salty eyes, two jealous tonsils, nose, small mouth, long neck.;Buster.;The third century before the birth...;24 cm high.;A soluble auction. London.;Presented immediately.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_7_p006_bf9a00d0;Half a man's statue.;The head of a statue from the Elbster tombstone... with a clear face... eyes... two blind nose, a small mouth, a long neck.;Buster.;The first thousand BC.;33 degrees centimeters.;Sotheby auction, London.;It's currently on display at the Sotheby-London auction.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p001_e0434930;;A human statue.;A man's human statue, his hands stretched forward from the elbow line.;Bronze.;1st - 4th century before the Miles.;;Antiquities and Orlental;Good.;(also found at LAPADA auction);;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p002_631afa0a;;;A bull-shaped necklace.;A pendant in the form of a thor, with a piercing piercing through his side, his current condition is excellent.;Gold.;The first - second century before the Miles.;;Antiquities and Orlental;Good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p003_2e6655ff;Antiquities and Orlental;جيدة;;https://www.antiquities.co.uk/shop/ancient-figurines-statues/camels/rare-south-arabian-alabaster-camel/;A camel statue.;A camel statue, clearly salty, stands on a rectangular base, has a pointy sleeve, the neck curved to the highest and the head highlighted to the pain.;Marble.;The first-second century before the Miles.;;Antiquities and Orlental;Good.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p004_4c2721f1;A right-wing dagger.;A sidekick with a bolt handle made of skin in the back, and copper engraved in the front, bound in its place with fine lines of skin;;;;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p005_545e800d;LAPADA;جيدة;;https://lapada.org/art/bronze-sabaean-arabian-south-antiques/rare-idol/;A human statue.;A human statue of a man, with his hands stretched forward from the elbow line, showing bare chest shape wearing a cloth, was presented in a perfumed manner, with eyes wide open and a straight nose.;The bronze.;Around the 4th century - the first century before the Miles.;H11 centimeters;LAPADA;Good.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p006_9a4ad919;https://lapada.org/art/antiques/south-arabian-alabaster-lion-statuette/;A statue.;A little bust of the marble... ..on a rectangular base... carved what clearly touched his face.;Marble.;;The height of 9.5 times the depth of 12.5 centimeters:;LAPADA;Good.;Slice name: Lion's statue;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p007_57cd23fb;A gold ring represents a seal.;"A gold ring with an elliptical jet carved on it in the line ""N"" and ""D"" on the left side. On the right side, scientists ""A"" and ""M."" The sun beam was also filmed at the top and bottom of the profile.";Gold.;Around the 2nd century, the Miles.;8.74 grams;LAPADA;Good.;Repeat at the LOT auction;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p008_17bb71e2;Crabs table.;A table of two strands with a broad frame standing on four square feet. The table presents a four-headed and high carving with a long, prominent spiral horns.;Marble.;3rd century BC - 1st century BC;17 cm L including oak - 6 11/16 x 10.5 cm;Artemission;Good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p009_562a976d;;A tombstone.;See a tomb of the marble in the shape of a human face, a flat front with a long nose that leads to a closed mouth.;Marble.;3rd century BC - 1st century BC;12.6 cm long-- 4 15/16 inches;Artemission;Good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p010_ebdca4fd;A statue.;It's a stand-up, clear-cut, salty, man-sticked camel with a high-pitched sleeve and a neck stretched out to the front with a bell collar on it.;Bronze.;1st century, L.C., 1st century.;5.9 cm long-- 2 3/8 &quot;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p011_8da6a7a3;A scrambled knob in the shape and form.;It's a large-horned acupunctured accelerator with a back-shaped face that's clear-cut, hand-skinned, short-hand, curved, motion-shaped, or jump-shaped.;Bronze.;1,000 before the miles.;13.1 cm long-- 5 3/16 inches;Artemission;Good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p012_580fb51e;A statue of a man's head.;The head of a clear, salty statue, the neck is long, the nose is high, the eyes are high, the mouth is small, the mouth is closed.;Marble.;First century B.C.E.;12.5 cm high - 4 15/16 inches;Artemission;Good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p013_2740452a;;;;;;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p014_3517d3cf;Silver chain.;A bra with a chain with a roller nut.;Silver.;Mid-20th century;Legend size 3.3 in length x 0.65 in width (8.4 cm x 1.7 cm);LIVEACUTIONRES;Good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p015_fdae0bd3;;A ring.;A ring containing an outer circle of crooked circuits with a bead-like laceration - with a rope tone frame around the frame that holds the stone. The stone is round, with flower-like designs with splits between them.;Silver.;Before 1950.;Ring size 8, 26 mm wide, stone round and appx, 14.5 mm wide, tape width about 3.2 mm wide.;LIVEACUTIONRES;The current situation is good.;It was repeated at the Jasper 5 auction.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p016_8d1e3a76;Gold dinars.;Dinar of Abbasite gold, slapping Sana'a books on the face and in the face of Muhammad, the messenger of Hell.;Gold.;313 abandoned me.;1.69 grams;LIVEACUTIONRES;Good.;"932, gold ""amiri"" dinar (1.69g), San'a, ABBASID OF YEMEN: al-Muqtadir, 908-1058.2, AH313, A";;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p017_a92235c9;إكس0543;;A tombstone.;A plaque of marble for a woman with an infant in her arms, a round pale face and eyes in the form of two stray tonsils, displayed at an auction in Britain;;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p018_49544eb2;;;;;;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p019_6f0de64e;A inscription.;A six-line penetrators engraving on the upper side of the engraving is a round-shaped opening.;The bronze.;Time before 30 before miles - 130 m;22.9 x 31.1 cm / 9 x 12 1/4 inches;Barakat;;PF.5530;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p020_d18e8f96;;;;;;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p021_bc77bf78;A statue of the sheep.;A statue of the marble of a clearly salted sheep stands on the base of his great horns curved backwards. The eyes are clear.;Marble.;3,000 before the miles. 2000 before the miles.;Altitude 17.3 cm;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p022_75d2072c; واللحية مصنوعة من ثلاثة صفوف من التنقيط; والشعر منتهي تقريبا من الأعلى والخلف; ونقش على القاعدة نقش بخط المسند.;مرمر;حوالي القرن2-1 قبل الميالد;12¾ in. (32.4 cm);Christies;جيدة;;;A statue of a man.;A statue of a man who, on an integrated rectangular base, with his arms stretched forward, wearing a dress and sword bound in his belt, with his broad oval face with a small mouth, with a wide triangle nose and two big eyes in the form of almonds, eye gardens engraved, with bowed eyebrows, a beard made from three rows of drip, hair almost finished from the top and back, and an inscription on the base on the line.;Marble.;About the 2nd century-1 before the miles.;12¾ in. (32.4 cm);Christies;Good.;;;;;;;;
0-آثارنا المنهوبة_10_p023_9afad18b;Contract;A contract of gold made up of 16 decorated beads, ending with a cap on the bottom of a circle.;Gold.;Around the 5th century before the miles.;1 7/16 inches (3.7 cm) long;Christies;Good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p024_d48fb288;;;A statue of a man.;A statue of a guy sitting around, looking like a velvet, with a curly forehead and a straight nose.;The limestone.;Alvey 1 before the Miles.;27½ in. (70 cm.);Christies;Good.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p025_c53a961d;10½ in. (26.7 cm;Christies;جيدة;;;Watch.;See the head of a man with an oval face, a squeaky high eyebrow strung up over the eyes of a large, thick hooded almond , with a long nose , a straight lip , his moustache , and his beard , referred to as three rows of drip , pierced the earlobe .;Marble.;The first century before the miles, the first century before the miles.;10½ in. (26.7 cm;Christies;Good.;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p026_f6a8f9a9; ديوان شرح أبو العلاء المعري; أواخر القرن18/19; وديوان الشرح المتنبي 1074 ه; ومخطوطة عثمانية مؤرخة في عام 1081 ه; لوحة نصية.;مخطوط;القرن17 م وما بعده;6 5/8 x 3 5/8 in. (16.8 x 9.2 cm);;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p027_dca79307; وبدر الدين أبو محمد محمود بن أحمد العيني (ت1451 م) فوائض القاليد شارح الشهداء الشهداء; مخطوطة عربية على ورق 189 وما يليها; باإلضافة إلى 1 ورقة ذبابة; كل ورقة بها 21 ل من النسخ األسود; وبعض الكلمات باللون األحمر; وعبارات تحتها خط باللون األحمر; وكلما ت الداللة; بيانات النسخ بتاريخ 27 رمضان 1097 ه; في غالف ورقي رخامي غالف;محطوط;القرن17م;8 x 5 1/8in. (20.2 x 13.3cm.) and 8¼ x 5 5/8in. (20.8 x 14.5cm.) (2);Christies;جيدة;;;Arabic manuscript;The book Ali bin Hussein bin Ezzedine Ali Mani al-Shami (T1708M) guides the Abeds, published during the author's life, an Arab manuscript on paper 52 et seq., plus 1708 flypapers, each with 52 L. of black copies, some words in red, key words, copies dated Wednesday, 2 Sha'an 19h, in a modern binding, Baderuddin Abu Mohammed Mahmoud bin Ahmed Al-Anei (T1451M) and the shrines of the martyrs, an Arab manuscript on paper 189 et seq., plus 1 fly paper, each with 21 black copies, some words in red, and underneath the line of red, and whenever there is evidence, the copy statements of 27 Ramadan 1097H, in the Gulf Marble Paper.;Destroyed.;17th century.;8 x 5 1/8in. (20.2 x 13.3cm.) and 8¼ x 5 5/8in. (20.8 x 14.5cm.) (2);Christies;Good.;;
0-آثارنا المنهوبة_10_p028_00665aaa;A statue of a woman's head.;The head of the mirror is clear, the salt, the nose is prominent, the mouth is out in a straight line, and the two are clearly TN and the hair is long, stretching to the neck.;Marble.;About the 1st century before the miles.;7 1/2 in. (19 cm.);Christies;Good.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p029_e9def20a;Woodboard.;Part of a newspaper chair covered by written orthopaedic orthopaedic ceramics is confined inside rectangular and square bruising.;Wood;Around the 15th century.;12 x 24½in. (30.5 x 62.5cm);Christies;There's some damage to the top of the chair.;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p030_ccd8e31d; بغالف مغربي أسود مختوم بطغرة سلطان عبد العزيز.;مخطوط;5 محرم 1184 / 1 مايو 1770م;10 x 5¼in. (25.4 x 13.4cm.);;;;;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p031_29d014fc;Christies;جيدة;12;https://www.christies.com/lot/lotinfo/1726909;Dinar's coin.;Yemen, Ali Ben Mohammed 439-59/H 1047-67 m), DAN 2.49 g, Zbed 451, very soft;Silver.;(439-59/e 1047-67 m);;Christies;Good.;12;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p032_488d02d7;https://www.lot-kedem.com/auction/14.2.23/manuscript_diwan-Yemen/288;Hebrew manuscript;A Hebrew manuscript, which, by auction, is written in poems, rectangled in shape.;Paper.;18/19th century;34 cm;LOT - ART;Very good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p033_71f40a11;https://www.lotcatawiki-27.1.23-bead_34-century/66081029;A coral necklace.;A contract of a black marine secret consisting of 34 grains of equal size.;Stones, coral.;19th century;;LOT - ART;Excellent.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p034_759f2660;https://www.lot-art.com/auction/Manuscript-Shirot-century-19th-the-Yemen-moreshet/88;Hebrew manuscript;A little chunk of y, like a leaf on black ink, isn't clear-cut.;Paper.;19th century;13x8 cm;LOT - ART;Bad.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_10_p035_e38aa48c;https://www.lot-art.com/auction/01.2.23-handwritten_autograph-Century/87-17th18th-Yemen-More-and-oreshet;Hebrew manuscript;Ahjusshi manuscript, from the middle pieces written on black ink paper, is unclear.;Paper.;17/18 Century;11x8 cm;LOT - ART;Bad.;;;;;;;;;;;;;;;;;
